Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
AUT  1985     1.734     0.792     0.589     0.233     0.079     0.042
AUT  1986     1.704     0.786     0.573     0.222     0.081     0.042
AUT  1987     1.648     0.783     0.545     0.212     0.070     0.037
AUT  1988     1.601     0.751     0.543     0.209     0.067     0.030
AUT  1989     1.663     0.760     0.578     0.226     0.066     0.033
AUT  1990     1.613     0.720     0.586     0.213     0.062     0.033
AUT  1991     1.579     0.733     0.549     0.198     0.070     0.029
AUT  1992     1.601     0.776     0.521     0.213     0.063     0.028
AUT  1993     1.716     0.854     0.573     0.205     0.057     0.027
AUT  1994     1.800     0.907     0.607     0.196     0.062     0.027
AUT  1995     1.740     0.877     0.580     0.198     0.061     0.024
AUT  1996     1.732     0.809     0.621     0.215     0.062     0.026
AUT  1997     1.585     0.750     0.571     0.188     0.050     0.027
AUT  1998     1.562     0.765     0.566     0.164     0.045     0.021
AUT  1999     1.520     0.728     0.546     0.179     0.049     0.019
AUT  2000     1.587     0.739     0.584     0.197     0.049     0.018
AUT  2001     1.607     0.785     0.577     0.180     0.047     0.017
AUT  2002     1.676     0.825     0.568     0.206     0.056     0.020
AUT  2003     1.586     0.767     0.549     0.192     0.053     0.024
AUT  2004     1.641     0.809     0.582     0.175     0.053     0.022
AUT  2005     1.728     0.860     0.592     0.198     0.054     0.025
AUT  2006     1.681     0.836     0.548     0.214     0.062     0.021
AUT  2007     1.600     0.757     0.554     0.209     0.058     0.022
AUT  2008     1.688     0.796     0.627     0.188     0.049     0.027
AUT  2009     1.698     0.861     0.575     0.188     0.052     0.021
BLR  1965     2.097     0.834     0.648     0.317     0.172     0.126
BLR  1966     2.129     0.806     0.628     0.385     0.167     0.144
BLR  1967     2.301     0.919     0.726     0.389     0.141     0.126
BLR  1968     2.221     0.890     0.783     0.301     0.130     0.118
BLR  1969     1.998     0.785     0.693     0.297     0.122     0.100
BLR  1970     2.047     0.817     0.721     0.298     0.115     0.096
BLR  1971     2.166     0.923     0.737     0.295     0.115     0.096
BLR  1972     2.206     0.963     0.730     0.298     0.118     0.096
BLR  1973     2.106     0.918     0.708     0.286     0.105     0.089
BLR  1974     2.011     0.897     0.687     0.249     0.096     0.083
BLR  1975     1.969     0.903     0.669     0.225     0.088     0.083
BLR  1976     1.988     0.916     0.693     0.222     0.082     0.075
BLR  1977     1.911     0.903     0.678     0.183     0.072     0.075
BLR  1978     1.898     0.923     0.686     0.164     0.059     0.066
BLR  1979     1.881     0.921     0.691     0.159     0.053     0.057
BLR  1980     1.942     0.989     0.683     0.160     0.050     0.060
