Crude birth rate
Last modified: 25/09/2014
Code Year      CBR
AUT  1951    14.83
AUT  1952    14.87
AUT  1953    14.84
AUT  1954    14.98
AUT  1955    15.63
AUT  1956    16.66
AUT  1957    17.04
AUT  1958    17.14
AUT  1959    17.73
AUT  1960    17.87
AUT  1961    18.57
AUT  1962    18.69
AUT  1963    18.78
AUT  1964    18.53
AUT  1965    17.87
AUT  1966    17.56
AUT  1967    17.27
AUT  1968    17.01
AUT  1969    16.31
AUT  1970    15.04
AUT  1971    14.47
AUT  1972    13.79
AUT  1973    12.93
AUT  1974    12.82
AUT  1975    12.37
AUT  1976    11.56
AUT  1977    11.31
AUT  1978    11.30
AUT  1979    11.45
AUT  1980    12.04
AUT  1981    12.42
AUT  1982    12.53
AUT  1983    11.92
AUT  1984    11.81
AUT  1985    11.56
AUT  1986    11.49
AUT  1987    11.42
AUT  1988    11.61
AUT  1989    11.65
AUT  1990    11.78
AUT  1991    12.20
AUT  1992    12.15
AUT  1993    12.05
AUT  1994    11.65
AUT  1995    11.16
AUT  1996    11.16
AUT  1997    10.55
AUT  1998    10.19
AUT  1999     9.78
AUT  2000     9.77
AUT  2001     9.38
AUT  2002     9.70
AUT  2003     9.48
AUT  2004     9.66
AUT  2005     9.50
AUT  2006     9.41
AUT  2007     9.17
AUT  2008     9.32
AUT  2009     9.13
AUT  2010     9.39
BLR  1964    18.76
BLR  1965    17.68
BLR  1966    17.47
BLR  1967    16.66
BLR  1968    16.38
BLR  1969    15.88
BLR  1970    16.22
BLR  1971    16.37
BLR  1972    16.11
BLR  1973    15.67
BLR  1974    15.80
BLR  1975    15.66
BLR  1976    15.72
BLR  1977    15.74
BLR  1978    15.88
BLR  1979    15.87
BLR  1980    16.03
BLR  1981    16.27
BLR  1982    16.31
BLR  1983    17.63
BLR  1984    17.04
BLR  1985    16.57
BLR  1986    17.14
BLR  1987    16.19
BLR  1988    16.13
BLR  1989    15.09
BLR  1990    13.95
BLR  1991    12.95
BLR  1992    12.53
BLR  1993    11.47
BLR  1994    10.82
BLR  1995     9.93
BLR  1996     9.44
BLR  1997     8.86
BLR  1998     9.20
BLR  1999     9.27
BLR  2000     9.39
BLR  2001     9.23
BLR  2002     8.99
BLR  2003     9.03
BLR  2004     9.14
BLR  2005     9.36
BLR  2006    10.07
BLR  2007    10.83
BLR  2008    11.32
BLR  2009    11.49
BLR  2010    11.38
BLR  2011    11.52
BLR  2012    12.25
BGR  1947    24.12
BGR  1948    24.71
BGR  1949    24.77
BGR  1950    25.17
BGR  1951    20.87
BGR  1952    20.91
BGR  1953    20.64
BGR  1954    20.03
BGR  1955    20.02
BGR  1956    19.48
BGR  1957    18.42
BGR  1958    17.89
BGR  1959    17.55
BGR  1960    17.81
BGR  1961    17.36
BGR  1962    16.75
BGR  1963    16.36
BGR  1964    16.08
BGR  1965    15.33
BGR  1966    14.89
BGR  1967    14.99
BGR  1968    16.90
BGR  1969    16.95
BGR  1970    16.34
BGR  1971    15.85
BGR  1972    15.30
BGR  1973    16.20
BGR  1974    17.18
BGR  1975    16.58
BGR  1976    16.54
BGR  1977    16.09
BGR  1978    15.47
BGR  1979    15.33
BGR  1980    14.47
BGR  1981    13.99
BGR  1982    13.93
BGR  1983    13.77
BGR  1984    13.66
BGR  1985    13.28
BGR  1986    13.40
BGR  1987    13.00
BGR  1988    13.07
BGR  1989    12.57
BGR  1990    11.93
BGR  1991    11.03
BGR  1992    10.42
BGR  1993     9.97
BGR  1994     9.44
BGR  1995     8.61
BGR  1996     8.71
BGR  1997     7.80
BGR  1998     8.03
BGR  1999     8.96
BGR  2000     9.21
BGR  2001     8.60
BGR  2002     8.45
BGR  2003     8.61
BGR  2004     8.98
BGR  2005     9.18
BGR  2006     9.61
BGR  2007     9.84
BGR  2008    10.20
BGR  2009    10.67
CAN  1921    26.29
CAN  1922    25.25
CAN  1923    23.87
CAN  1924    23.69
CAN  1925    22.94
CAN  1926    24.58
CAN  1927    24.27
CAN  1928    24.05
CAN  1929    23.46
CAN  1930    23.84
CAN  1931    23.18
CAN  1932    22.42
CAN  1933    20.96
CAN  1934    20.60
CAN  1935    20.41
CAN  1936    20.13
CAN  1937    19.93
CAN  1938    20.57
CAN  1939    20.37
CAN  1940    21.46
CAN  1941    22.17
CAN  1942    23.36
CAN  1943    24.03
CAN  1944    23.80
CAN  1945    23.86
CAN  1946    26.88
CAN  1947    28.59
CAN  1948    27.07
CAN  1949    27.01
CAN  1950    26.76
CAN  1951    26.88
CAN  1952    27.68
CAN  1953    27.88
CAN  1954    28.28
CAN  1955    27.90
CAN  1956    27.69
CAN  1957    27.96
CAN  1958    27.29
CAN  1959    27.18
CAN  1960    26.54
CAN  1961    25.82
CAN  1962    25.04
CAN  1963    24.34
CAN  1964    23.25
CAN  1965    21.03
CAN  1966    19.10
CAN  1967    17.98
CAN  1968    17.38
CAN  1969    17.38
CAN  1970    17.19
CAN  1971    16.36
CAN  1972    15.42
CAN  1973    15.09
CAN  1974    15.07
CAN  1975    15.42
CAN  1976    15.25
CAN  1977    15.20
CAN  1978    14.91
CAN  1979    15.05
CAN  1980    15.05
CAN  1981    14.90
CAN  1982    14.84
CAN  1983    14.72
CAN  1984    14.73
CAN  1985    14.53
CAN  1986    14.28
CAN  1987    14.00
CAN  1988    14.07
CAN  1989    14.43
CAN  1990    14.69
CAN  1991    14.37
CAN  1992    14.06
CAN  1993    13.55
CAN  1994    13.29
CAN  1995    12.90
CAN  1996    12.37
CAN  1997    11.66
CAN  1998    11.36
CAN  1999    11.09
CAN  2000    10.68
CAN  2001    10.76
CAN  2002    10.49
CAN  2003    10.59
CAN  2004    10.55
CAN  2005    10.61
CAN  2006    10.88
CAN  2007    11.17
CAN  2008    11.34
CAN  2009    11.29
CHL  1992    21.99
CHL  1993    21.29
CHL  1994    20.67
CHL  1995    19.70
CHL  1996    19.18
CHL  1997    18.47
CHL  1998    17.98
CHL  1999    17.25
CHL  2000    16.93
CHL  2001    16.55
CHL  2002    15.90
CHL  2003    15.44
