Crude birth rate by birth order
Last modified: 25/09/2014
Code Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
AUT  1984    11.81     5.55     3.90     1.51     0.53     0.32
AUT  1985    11.56     5.44     3.87     1.48     0.49     0.28
AUT  1986    11.49     5.45     3.85     1.45     0.49     0.26
AUT  1987    11.42     5.43     3.85     1.41     0.47     0.26
AUT  1988    11.61     5.55     3.91     1.45     0.45     0.24
AUT  1989    11.65     5.44     4.00     1.51     0.47     0.23
AUT  1990    11.78     5.44     4.11     1.55     0.46     0.22
AUT  1991    12.20     5.67     4.21     1.59     0.50     0.22
AUT  1992    12.15     5.60     4.23     1.62     0.48     0.22
AUT  1993    12.05     5.45     4.31     1.60     0.47     0.22
AUT  1994    11.65     5.18     4.24     1.56     0.46     0.21
AUT  1995    11.16     4.96     4.06     1.50     0.45     0.20
AUT  1996    11.16     4.96     4.08     1.49     0.44     0.19
AUT  1997    10.55     4.76     3.78     1.43     0.41     0.17
AUT  1998    10.19     4.56     3.70     1.35     0.40     0.17
AUT  1999     9.78     4.44     3.49     1.29     0.39     0.17
AUT  2000     9.77     4.44     3.52     1.27     0.38     0.16
AUT  2001     9.38     4.32     3.32     1.22     0.36     0.16
AUT  2002     9.70     4.43     3.42     1.30     0.39     0.16
AUT  2003     9.48     4.34     3.32     1.28     0.37     0.17
AUT  2004     9.66     4.46     3.38     1.26     0.39     0.17
AUT  2005     9.50     4.40     3.30     1.25     0.38     0.17
AUT  2006     9.41     4.38     3.27     1.21     0.38     0.17
AUT  2007     9.17     4.24     3.22     1.18     0.36     0.17
AUT  2008     9.32     4.36     3.26     1.18     0.35     0.17
AUT  2009     9.13     4.30     3.17     1.16     0.34     0.16
AUT  2010     9.39     4.44     3.30     1.15     0.33     0.16
BLR  1964    18.76     6.79     5.97     3.28     1.43     1.29
BLR  1965    17.68     6.53     5.52     3.03     1.37     1.22
BLR  1966    17.47     6.20     5.50     3.04     1.43     1.30
BLR  1967    16.66     6.28     5.34     2.72     1.23     1.10
BLR  1968    16.38     6.41     5.19     2.56     1.15     1.06
BLR  1969    15.88     6.49     5.02     2.34     1.06     0.97
BLR  1970    16.22     7.02     5.09     2.28     0.95     0.88
BLR  1971    16.37     7.44     5.07     2.13     0.89     0.83
BLR  1972    16.11     7.49     5.09     1.97     0.80     0.76
BLR  1973    15.67     7.42     5.03     1.81     0.72     0.69
BLR  1974    15.80     7.61     5.17     1.72     0.65     0.64
BLR  1975    15.66     7.69     5.18     1.58     0.61     0.62
BLR  1976    15.72     7.89     5.25     1.49     0.54     0.55
BLR  1977    15.74     7.94     5.37     1.41     0.50     0.51
BLR  1978    15.88     8.17     5.47     1.33     0.45     0.45
BLR  1979    15.87     8.32     5.51     1.24     0.40     0.40
BLR  1980    16.03     8.40     5.68     1.22     0.36     0.37
BLR  1981    16.27     8.21     6.04     1.31     0.37     0.33
BLR  1982    16.31     8.14     6.11     1.34     0.37     0.35
BLR  1983    17.63     8.18     7.16     1.55     0.39     0.35
BLR  1984    17.04     8.07     6.73     1.53     0.38     0.33
BLR  1985    16.57     7.74     6.61     1.52     0.37     0.33
BLR  1986    17.14     7.76     6.89     1.68     0.43     0.37
BLR  1987    16.19     7.61     6.33     1.50     0.39     0.35
BLR  1988    16.13     7.55     6.42     1.45     0.38     0.33
BLR  1989    15.09     7.33     5.88     1.27     0.33     0.29
BLR  1990    13.95     7.15     5.11     1.10     0.31     0.28
BLR  1991    12.95     7.02     4.39     0.99     0.29     0.26
BLR  1992    12.53     6.84     4.25     0.93     0.27     0.24
BLR  1993    11.47     6.30     3.84     0.85     0.25     0.22
BLR  1994    10.82     6.15     3.47     0.77     0.23     0.20
BLR  1995     9.93     5.77     3.10     0.67     0.20     0.19
BLR  1996     9.44     5.62     2.84     0.61     0.19     0.17
BLR  1997     8.86     5.16     2.74     0.60     0.19     0.17
BLR  1998     9.20     5.27     2.91     0.67     0.19     0.16
BLR  1999     9.27     5.36     2.91     0.65     0.19     0.16
BLR  2000     9.39     5.43     3.00     0.63     0.18     0.14
BLR  2001     9.23     5.29     2.97     0.64     0.19     0.14
BLR  2002     8.99     5.23     2.85     0.61     0.17     0.12
BLR  2003     9.03     5.34     2.81     0.59     0.16     0.13
BLR  2004     9.14     5.42     2.81     0.62     0.17     0.12
BLR  2005     9.36     5.45     2.94     0.67     0.18     0.12
BLR  2006    10.07     5.78     3.21     0.75     0.19     0.12
BLR  2007    10.83     6.00     3.61     0.88     0.21     0.14
BLR  2008    11.32     6.20     3.86     0.91     0.21     0.14
BLR  2009    11.49     6.21     4.02     0.91     0.22     0.14
BLR  2010    11.38     5.95     4.11     0.97     0.21     0.13
BLR  2011    11.52     5.87     4.25     1.06     0.22     0.13
BLR  2012    12.25     6.20     4.54     1.12     0.25     0.13
BGR  1947    24.12     9.16     7.04     3.51     1.80     2.61
BGR  1948    24.71     9.33     7.29     3.59     1.85     2.65
BGR  1949    24.77     9.15     7.45     3.63     1.90     2.63
BGR  1950    25.17     9.32     7.57     3.70     1.95     2.63
BGR  1951    20.87     8.20     6.11     2.99     1.53     2.04
BGR  1952    20.91     7.90     6.49     3.06     1.57     1.88
BGR  1953    20.64     8.05     6.41     2.88     1.48     1.81
BGR  1954    20.03     7.97     6.10     2.78     1.45     1.73
BGR  1955    20.02     8.16     6.18     2.59     1.36     1.72
BGR  1956    19.48     8.14     6.12     2.35     1.22     1.65
BGR  1957    18.42     7.94     5.91     2.05     1.05     1.47
BGR  1958    17.89     7.61     6.02     1.92     0.97     1.37
BGR  1959    17.55     7.77     5.92     1.78     0.87     1.22
BGR  1960    17.81     7.76     6.20     1.84     0.84     1.17
BGR  1961    17.36     7.38     6.35     1.76     0.80     1.08
BGR  1962    16.75     7.00     6.22     1.70     0.77     1.05
BGR  1963    16.36     6.99     6.07     1.61     0.71     0.98
BGR  1964    16.08     7.25     5.70     1.53     0.68     0.91
BGR  1965    15.33     7.05     5.34     1.40     0.63     0.91
BGR  1966    14.89     6.98     5.21     1.31     0.58     0.81
BGR  1967    14.99     7.22     5.17     1.29     0.56     0.75
BGR  1968    16.90     7.69     6.10     1.90     0.53     0.67
BGR  1969    16.95     7.61     6.20     2.01     0.53     0.60
BGR  1970    16.34     7.49     5.97     1.84     0.51     0.53
BGR  1971    15.85     7.47     5.73     1.64     0.51     0.50
BGR  1972    15.30     7.26     5.66     1.47     0.47     0.44
BGR  1973    16.20     7.54     6.24     1.49     0.49     0.44
BGR  1974    17.18     7.39     7.32     1.54     0.49     0.43
BGR  1975    16.58     7.23     6.90     1.55     0.48     0.42
BGR  1976    16.54     7.36     6.67     1.60     0.48     0.43
BGR  1977    16.09     7.25     6.45     1.52     0.46     0.40
BGR  1978    15.47     7.12     6.11     1.42     0.44     0.38
BGR  1979    15.33     7.17     5.93     1.43     0.42     0.38
BGR  1980    14.47     6.91     5.48     1.33     0.39     0.36
BGR  1981    13.99     6.78     5.25     1.25     0.38     0.34
BGR  1982    13.93     6.70     5.31     1.21     0.38     0.33
BGR  1983    13.77     6.38     5.46     1.23     0.37     0.33
BGR  1984    13.66     6.28     5.44     1.24     0.37     0.32
BGR  1985    13.28     6.10     5.23     1.24     0.38     0.33
BGR  1986    13.40     6.16     5.39     1.20     0.34     0.31
BGR  1987    13.00     6.01     5.24     1.15     0.32     0.29
BGR  1988    13.07     6.06     5.27     1.14     0.32     0.29
BGR  1989    12.57     6.03     4.87     1.09     0.31     0.27
BGR  1990    11.93     5.96     4.42     1.00     0.30     0.26
BGR  1991    11.03     5.98     3.71     0.84     0.27     0.24
BGR  1992    10.42     5.84     3.35     0.74     0.26     0.23
BGR  1993     9.97     5.48     3.28     0.70     0.26     0.24
BGR  1994     9.44     5.11     3.16     0.67     0.25     0.25
BGR  1995     8.61     4.71     2.90     0.60     0.20     0.21
BGR  1996     8.71     4.74     2.95     0.60     0.21     0.21
BGR  1997     7.80     4.54     2.39     0.51     0.18     0.19
BGR  1998     8.03     4.71     2.51     0.48     0.17     0.17
BGR  1999     8.96     5.03     2.84     0.62     0.23     0.23
BGR  2000     9.21     5.35     2.79     0.59     0.24     0.23
BGR  2001     8.60     5.01     2.56     0.58     0.22     0.22
BGR  2002     8.45     4.80     2.63     0.59     0.22     0.21
BGR  2003     8.61     4.95     2.64     0.58     0.23     0.22
BGR  2004     8.98     5.19     2.71     0.62     0.23     0.23
BGR  2005     9.18     5.36     2.80     0.57     0.22     0.23
BGR  2006     9.61     5.63     2.93     0.59     0.22     0.24
BGR  2007     9.84     5.61     3.16     0.61     0.22     0.25
BGR  2008    10.20     5.80     3.34     0.62     0.21     0.23
BGR  2009    10.67     5.80     3.67     0.71     0.23     0.27
CAN  1944    23.80     7.56     5.65     3.46     2.15     4.98
CAN  1945    23.86     7.34     5.69     3.57     2.20     5.06
CAN  1946    26.88     8.78     6.55     3.98     2.37     5.20
CAN  1947    28.59     9.85     6.98     4.19     2.47     5.10
CAN  1948    27.07     8.47     6.91     4.20     2.49     5.01
CAN  1949    27.01     7.95     7.07     4.41     2.57     5.01
CAN  1950    26.76     7.61     6.91     4.54     2.66     5.04
CAN  1951    26.88     7.63     6.82     4.62     2.79     5.03
CAN  1952    27.68     7.91     6.77     4.84     2.97     5.19
CAN  1953    27.88     7.83     6.86     4.89     3.03     5.27
CAN  1954    28.28     7.86     6.86     4.96     3.11     5.49
