Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
AUT  1969    12         .         .         .         .         .         .
AUT  1969    13         .         .         .         .         .         .
AUT  1969    14         .         .         .         .         .         .
AUT  1969    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1969    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1969    17     0.008     0.008     0.000     0.000     0.000     0.000
AUT  1969    18     0.025     0.024     0.001     0.000     0.000     0.000
AUT  1969    19     0.055     0.052     0.003     0.000     0.000     0.000
AUT  1969    20     0.104     0.094     0.009     0.001     0.000     0.000
AUT  1969    21     0.168     0.145     0.021     0.002     0.000     0.000
AUT  1969    22     0.245     0.201     0.040     0.004     0.000     0.000
AUT  1969    23     0.333     0.259     0.066     0.008     0.001     0.000
AUT  1969    24     0.431     0.317     0.099     0.013     0.002     0.000
AUT  1969    25     0.534     0.372     0.138     0.020     0.003     0.000
AUT  1969    26     0.639     0.427     0.178     0.029     0.004     0.001
AUT  1969    27     0.746     0.478     0.220     0.039     0.007     0.002
AUT  1969    28     0.853     0.528     0.263     0.051     0.009     0.002
AUT  1969    29     0.951     0.569     0.305     0.063     0.012     0.003
AUT  1969    30     1.042     0.606     0.342     0.075     0.015     0.004
AUT  1969    31     1.127     0.639     0.378     0.088     0.018     0.005
AUT  1969    32     1.205     0.667     0.411     0.100     0.021     0.006
AUT  1969    33     1.275     0.691     0.439     0.113     0.025     0.007
AUT  1969    34     1.338     0.711     0.465     0.125     0.029     0.008
AUT  1969    35     1.395     0.729     0.488     0.136     0.032     0.010
AUT  1969    36     1.445     0.745     0.507     0.147     0.035     0.011
AUT  1969    37     1.487     0.757     0.523     0.155     0.039     0.013
AUT  1969    38     1.522     0.768     0.535     0.163     0.042     0.014
AUT  1969    39     1.548     0.774     0.545     0.169     0.044     0.016
AUT  1969    40     1.570     0.780     0.552     0.174     0.046     0.017
AUT  1969    41     1.586     0.785     0.558     0.178     0.047     0.018
AUT  1969    42         .         .         .         .         .         .
AUT  1969    43         .         .         .         .         .         .
AUT  1969    44         .         .         .         .         .         .
AUT  1969    45         .         .         .         .         .         .
AUT  1969    46         .         .         .         .         .         .
AUT  1969    47         .         .         .         .         .         .
AUT  1969    48         .         .         .         .         .         .
AUT  1969    49         .         .         .         .         .         .
AUT  1969    50         .         .         .         .         .         .
AUT  1969    51         .         .         .         .         .         .
AUT  1969    52         .         .         .         .         .         .
AUT  1969    53         .         .         .         .         .         .
AUT  1969    54         .         .         .         .         .         .
AUT  1969    55         .         .         .         .         .         .
AUT  1970    12         .         .         .         .         .         .
AUT  1970    13         .         .         .         .         .         .
AUT  1970    14     0.000     0.000     0.000     0.000     0.000     0.000
