Cumulative period fertility rates (vertical parallelograms)
Last modified: 25/09/2014
Code Year  ARDY  Cohort     CPFR
AUT  1951   12    1939     0.000
AUT  1951   13    1938     0.000
AUT  1951   14    1937     0.000
AUT  1951   15    1936     0.000
AUT  1951   16    1935     0.001
AUT  1951   17    1934     0.005
AUT  1951   18    1933     0.022
AUT  1951   19    1932     0.060
AUT  1951   20    1931     0.123
AUT  1951   21    1930     0.215
AUT  1951   22    1929     0.321
AUT  1951   23    1928     0.434
AUT  1951   24    1927     0.557
AUT  1951   25    1926     0.677
AUT  1951   26    1925     0.799
AUT  1951   27    1924     0.918
AUT  1951   28    1923     1.035
AUT  1951   29    1922     1.145
AUT  1951   30    1921     1.250
AUT  1951   31    1920     1.355
AUT  1951   32    1919     1.448
AUT  1951   33    1918     1.534
AUT  1951   34    1917     1.606
AUT  1951   35    1916     1.673
AUT  1951   36    1915     1.732
AUT  1951   37    1914     1.786
AUT  1951   38    1913     1.837
AUT  1951   39    1912     1.880
AUT  1951   40    1911     1.918
AUT  1951   41    1910     1.949
AUT  1951   42    1909     1.973
AUT  1951   43    1908     1.991
AUT  1951   44    1907     2.004
AUT  1951   45    1906     2.012
AUT  1951   46    1905     2.017
AUT  1951   47    1904     2.019
AUT  1951   48    1903     2.020
AUT  1951   49    1902     2.021
AUT  1951   50    1901     2.021
AUT  1951   51    1900     2.022
AUT  1951   52    1899     2.022
AUT  1951   53    1898     2.022
AUT  1951   54    1897     2.022
AUT  1951   55    1896     2.022
AUT  1952   12    1940     0.000
AUT  1952   13    1939     0.000
AUT  1952   14    1938     0.000
AUT  1952   15    1937     0.000
AUT  1952   16    1936     0.001
AUT  1952   17    1935     0.005
AUT  1952   18    1934     0.021
AUT  1952   19    1933     0.058
AUT  1952   20    1932     0.124
AUT  1952   21    1931     0.220
AUT  1952   22    1930     0.326
AUT  1952   23    1929     0.445
AUT  1952   24    1928     0.569
AUT  1952   25    1927     0.696
AUT  1952   26    1926     0.821
AUT  1952   27    1925     0.945
AUT  1952   28    1924     1.067
AUT  1952   29    1923     1.181
AUT  1952   30    1922     1.287
AUT  1952   31    1921     1.391
AUT  1952   32    1920     1.483
AUT  1952   33    1919     1.570
AUT  1952   34    1918     1.647
AUT  1952   35    1917     1.718
AUT  1952   36    1916     1.779
AUT  1952   37    1915     1.832
AUT  1952   38    1914     1.882
AUT  1952   39    1913     1.925
AUT  1952   40    1912     1.962
AUT  1952   41    1911     1.992
AUT  1952   42    1910     2.015
AUT  1952   43    1909     2.034
AUT  1952   44    1908     2.046
AUT  1952   45    1907     2.054
AUT  1952   46    1906     2.058
AUT  1952   47    1905     2.061
AUT  1952   48    1904     2.062
AUT  1952   49    1903     2.062
AUT  1952   50    1902     2.062
AUT  1952   51    1901     2.062
AUT  1952   52    1900     2.062
AUT  1952   53    1899     2.062
AUT  1952   54    1898     2.062
AUT  1952   55    1897     2.062
AUT  1953   12    1941     0.000
AUT  1953   13    1940     0.000
AUT  1953   14    1939     0.000
AUT  1953   15    1938     0.000
AUT  1953   16    1937     0.001
AUT  1953   17    1936     0.006
AUT  1953   18    1935     0.022
AUT  1953   19    1934     0.059
AUT  1953   20    1933     0.125
AUT  1953   21    1932     0.222
AUT  1953   22    1931     0.333
AUT  1953   23    1930     0.459
AUT  1953   24    1929     0.588
AUT  1953   25    1928     0.717
AUT  1953   26    1927     0.848
AUT  1953   27    1926     0.975
AUT  1953   28    1925     1.097
AUT  1953   29    1924     1.211
AUT  1953   30    1923     1.323
AUT  1953   31    1922     1.429
AUT  1953   32    1921     1.521
AUT  1953   33    1920     1.609
AUT  1953   34    1919     1.686
AUT  1953   35    1918     1.755
AUT  1953   36    1917     1.818
AUT  1953   37    1916     1.874
AUT  1953   38    1915     1.920
AUT  1953   39    1914     1.962
AUT  1953   40    1913     1.996
AUT  1953   41    1912     2.027
AUT  1953   42    1911     2.050
AUT  1953   43    1910     2.066
AUT  1953   44    1909     2.078
AUT  1953   45    1908     2.086
AUT  1953   46    1907     2.091
AUT  1953   47    1906     2.093
AUT  1953   48    1905     2.095
AUT  1953   49    1904     2.095
AUT  1953   50    1903     2.095
AUT  1953   51    1902     2.096
AUT  1953   52    1901     2.096
AUT  1953   53    1900     2.096
AUT  1953   54    1899     2.096
AUT  1953   55    1898     2.096
AUT  1954   12    1942     0.000
AUT  1954   13    1941     0.000
AUT  1954   14    1940     0.000
AUT  1954   15    1939     0.000
AUT  1954   16    1938     0.001
AUT  1954   17    1937     0.006
AUT  1954   18    1936     0.023
AUT  1954   19    1935     0.062
AUT  1954   20    1934     0.129
AUT  1954   21    1933     0.225
AUT  1954   22    1932     0.342
AUT  1954   23    1931     0.468
AUT  1954   24    1930     0.602
AUT  1954   25    1929     0.739
AUT  1954   26    1928     0.876
AUT  1954   27    1927     1.008
AUT  1954   28    1926     1.134
AUT  1954   29    1925     1.252
AUT  1954   30    1924     1.365
AUT  1954   31    1923     1.471
AUT  1954   32    1922     1.568
AUT  1954   33    1921     1.656
AUT  1954   34    1920     1.736
AUT  1954   35    1919     1.807
AUT  1954   36    1918     1.869
AUT  1954   37    1917     1.927
AUT  1954   38    1916     1.977
AUT  1954   39    1915     2.019
AUT  1954   40    1914     2.055
AUT  1954   41    1913     2.086
AUT  1954   42    1912     2.110
AUT  1954   43    1911     2.128
AUT  1954   44    1910     2.140
AUT  1954   45    1909     2.148
AUT  1954   46    1908     2.152
AUT  1954   47    1907     2.154
AUT  1954   48    1906     2.155
AUT  1954   49    1905     2.156
AUT  1954   50    1904     2.156
AUT  1954   51    1903     2.156
AUT  1954   52    1902     2.156
AUT  1954   53    1901     2.156
AUT  1954   54    1900     2.156
AUT  1954   55    1899     2.156
AUT  1955   12    1943     0.000
AUT  1955   13    1942     0.000
AUT  1955   14    1941     0.000
