Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 25/09/2014
Code Year    ARDY   Cohort       Exposure
AUT  1951     12     1939        32001.07
AUT  1951     13     1938        46794.82
AUT  1951     14     1937        41216.84
AUT  1951     15     1936        41157.98
AUT  1951     16     1935        41481.24
AUT  1951     17     1934        42392.16
AUT  1951     18     1933        43363.99
AUT  1951     19     1932        44983.40
AUT  1951     20     1931        45899.36
AUT  1951     21     1930        47735.50
AUT  1951     22     1929        47528.21
AUT  1951     23     1928        48426.26
AUT  1951     24     1927        49146.72
AUT  1951     25     1926        52336.12
AUT  1951     26     1925        56161.26
AUT  1951     27     1924        58288.51
AUT  1951     28     1923        60003.14
AUT  1951     29     1922        60596.37
AUT  1951     30     1921        60189.26
AUT  1951     31     1920        57420.20
AUT  1951     32     1919        46421.76
AUT  1951     33     1918        34110.54
AUT  1951     34     1917        31419.59
AUT  1951     35     1916        34154.67
AUT  1951     36     1915        42530.92
AUT  1951     37     1914        53963.80
AUT  1951     38     1913        56619.17
AUT  1951     39     1912        58431.63
AUT  1951     40     1911        57413.49
AUT  1951     41     1910        59475.86
AUT  1951     42     1909        59443.66
AUT  1951     43     1908        58528.46
AUT  1951     44     1907        58597.78
AUT  1951     45     1906        58879.12
AUT  1951     46     1905        57366.53
AUT  1951     47     1904        57791.88
AUT  1951     48     1903        57073.51
AUT  1951     49     1902        57342.13
AUT  1951     50     1901        56382.22
AUT  1951     51     1900        55137.69
AUT  1951     52     1899        54341.40
AUT  1951     53     1898        52769.22
AUT  1951     54     1897        51504.89
AUT  1951     55     1896        50741.26
AUT  1952     12     1940        35338.00
AUT  1952     13     1939        64233.25
AUT  1952     14     1938        44506.97
AUT  1952     15     1937        40268.07
AUT  1952     16     1936        40786.98
AUT  1952     17     1935        40900.34
AUT  1952     18     1934        41923.56
AUT  1952     19     1933        42778.01
AUT  1952     20     1932        44729.92
AUT  1952     21     1931        45285.21
AUT  1952     22     1930        47760.98
AUT  1952     23     1929        46926.55
AUT  1952     24     1928        48205.62
AUT  1952     25     1927        48396.26
AUT  1952     26     1926        51891.19
AUT  1952     27     1925        56070.88
AUT  1952     28     1924        57919.54
AUT  1952     29     1923        59843.70
AUT  1952     30     1922        60374.41
AUT  1952     31     1921        60021.58
AUT  1952     32     1920        58377.33
AUT  1952     33     1919        46482.41
AUT  1952     34     1918        32256.45
AUT  1952     35     1917        30785.55
AUT  1952     36     1916        33251.15
AUT  1952     37     1915        41746.17
AUT  1952     38     1914        55268.99
AUT  1952     39     1913        56152.74
AUT  1952     40     1912        58763.12
AUT  1952     41     1911        56425.65
AUT  1952     42     1910        59625.84
AUT  1952     43     1909        59255.73
AUT  1952     44     1908        58093.12
AUT  1952     45     1907        58227.95
AUT  1952     46     1906        58949.99
AUT  1952     47     1905        56611.11
AUT  1952     48     1904        57737.65
AUT  1952     49     1903        56436.25
AUT  1952     50     1902        57209.56
AUT  1952     51     1901        56021.99
AUT  1952     52     1900        54649.46
AUT  1952     53     1899        54090.35
AUT  1952     54     1898        52290.34
AUT  1952     55     1897        50957.63
AUT  1953     12     1941        31118.74
AUT  1953     13     1940        67054.22
AUT  1953     14     1939        63995.09
AUT  1953     15     1938        44257.97
AUT  1953     16     1937        39987.34
AUT  1953     17     1936        40460.77
AUT  1953     18     1935        40531.36
AUT  1953     19     1934        41532.07
AUT  1953     20     1933        42435.53
AUT  1953     21     1932        44403.83
AUT  1953     22     1931        45011.22
AUT  1953     23     1930        47462.25
AUT  1953     24     1929        46671.98
AUT  1953     25     1928        47937.91
AUT  1953     26     1927        48137.50
AUT  1953     27     1926        51614.47
AUT  1953     28     1925        55791.18
AUT  1953     29     1924        57643.73
AUT  1953     30     1923        59581.38
AUT  1953     31     1922        60105.98
AUT  1953     32     1921        59766.18
AUT  1953     33     1920        58139.42
AUT  1953     34     1919        46279.91
AUT  1953     35     1918        32113.21
AUT  1953     36     1917        30653.10
AUT  1953     37     1916        33130.81
AUT  1953     38     1915        41558.21
AUT  1953     39     1914        55045.05
AUT  1953     40     1913        55939.22
AUT  1953     41     1912        58491.12
AUT  1953     42     1911        56175.50
AUT  1953     43     1910        59345.44
AUT  1953     44     1909        58986.35
AUT  1953     45     1908        57850.99
AUT  1953     46     1907        57957.83
AUT  1953     47     1906        58640.64
AUT  1953     48     1905        56293.17
AUT  1953     49     1904        57373.60
AUT  1953     50     1903        56096.57
AUT  1953     51     1902        56837.38
AUT  1953     52     1901        55648.54
AUT  1953     53     1900        54281.54
AUT  1953     54     1899        53702.26
AUT  1953     55     1898        51857.03
AUT  1954     12     1942        27208.54
AUT  1954     13     1941        61896.24
AUT  1954     14     1940        66884.85
AUT  1954     15     1939        63797.52
AUT  1954     16     1938        44054.84
AUT  1954     17     1937        39758.71
AUT  1954     18     1936        40192.73
AUT  1954     19     1935        40231.57
AUT  1954     20     1934        41212.34
AUT  1954     21     1933        42153.22
AUT  1954     22     1932        44144.43
AUT  1954     23     1931        44784.14
AUT  1954     24     1930        47219.32
AUT  1954     25     1929        46452.95
AUT  1954     26     1928        47720.24
AUT  1954     27     1927        47925.45
AUT  1954     28     1926        51386.57
AUT  1954     29     1925        55566.98
AUT  1954     30     1924        57407.07
AUT  1954     31     1923        59349.03
AUT  1954     32     1922        59871.89
AUT  1954     33     1921        59545.06
AUT  1954     34     1920        57930.93
AUT  1954     35     1919        46102.36
AUT  1954     36     1918        31985.81
AUT  1954     37     1917        30534.32
AUT  1954     38     1916        33021.48
AUT  1954     39     1915        41379.34
AUT  1954     40     1914        54828.58
AUT  1954     41     1913        55726.62
AUT  1954     42     1912        58258.10
AUT  1954     43     1911        55937.78
AUT  1954     44     1910        59089.22
AUT  1954     45     1909        58726.20
AUT  1954     46     1908        57625.58
AUT  1954     47     1907        57694.99
AUT  1954     48     1906        58324.85
AUT  1954     49     1905        55960.19
AUT  1954     50     1904        57010.04
AUT  1954     51     1903        55760.60
AUT  1954     52     1902        56456.22
AUT  1954     53     1901        55255.16
AUT  1954     54     1900        53924.15
AUT  1954     55     1899        53294.50
AUT  1955     12     1943        26576.84
AUT  1955     13     1942        52903.07
AUT  1955     14     1941        61748.07
AUT  1955     15     1940        66673.17
AUT  1955     16     1939        63559.82
AUT  1955     17     1938        43798.72
AUT  1955     18     1937        39475.19
AUT  1955     19     1936        39856.32
AUT  1955     20     1935        39859.68
AUT  1955     21     1934        40812.67
AUT  1955     22     1933        41805.80
AUT  1955     23     1932        43820.50
AUT  1955     24     1931        44502.13
AUT  1955     25     1930        46924.14
AUT  1955     26     1929        46205.29
AUT  1955     27     1928        47458.46
AUT  1955     28     1927        47663.83
AUT  1955     29     1926        51122.51
AUT  1955     30     1925        55293.34
AUT  1955     31     1924        57122.01
AUT  1955     32     1923        59091.22
AUT  1955     33     1922        59597.91
AUT  1955     34     1921        59285.65
AUT  1955     35     1920        57684.68
AUT  1955     36     1919        45890.74
AUT  1955     37     1918        31841.44
AUT  1955     38     1917        30396.64
AUT  1955     39     1916        32898.95
AUT  1955     40     1915        41165.26
AUT  1955     41     1914        54595.33
AUT  1955     42     1913        55503.52
AUT  1955     43     1912        57992.17
AUT  1955     44     1911        55671.39
AUT  1955     45     1910        58814.66
AUT  1955     46     1909        58449.91
AUT  1955     47     1908        57384.45
AUT  1955     48     1907        57392.94
AUT  1955     49     1906        57983.43
AUT  1955     50     1905        55611.90
AUT  1955     51     1904        56631.14
AUT  1955     52     1903        55398.41
AUT  1955     53     1902        56035.29
AUT  1955     54     1901        54831.84
AUT  1955     55     1900        53528.20
AUT  1956     12     1944        27057.93
AUT  1956     13     1943        53045.46
AUT  1956     14     1942        52749.26
AUT  1956     15     1941        61551.02
AUT  1956     16     1940        66382.65
AUT  1956     17     1939        63241.47
AUT  1956     18     1938        43447.15
AUT  1956     19     1937        39090.50
AUT  1956     20     1936        39401.16
AUT  1956     21     1935        39346.54
AUT  1956     22     1934        40265.13
AUT  1956     23     1933        41338.83
AUT  1956     24     1932        43380.43
AUT  1956     25     1931        44124.77
AUT  1956     26     1930        46538.32
AUT  1956     27     1929        45879.97
AUT  1956     28     1928        47105.19
AUT  1956     29     1927        47328.26
AUT  1956     30     1926        50771.09
AUT  1956     31     1925        54919.12
AUT  1956     32     1924        56747.72
AUT  1956     33     1923        58746.57
AUT  1956     34     1922        59253.88
AUT  1956     35     1921        58945.77
AUT  1956     36     1920        57369.56
AUT  1956     37     1919        45621.79
AUT  1956     38     1918        31666.00
AUT  1956     39     1917        30222.28
AUT  1956     40     1916        32748.14
AUT  1956     41     1915        40907.56
AUT  1956     42     1914        54325.60
AUT  1956     43     1913        55232.04
AUT  1956     44     1912        57673.78
AUT  1956     45     1911        55353.73
AUT  1956     46     1910        58486.30
AUT  1956     47     1909        58135.40
AUT  1956     48     1908        57100.40
AUT  1956     49     1907        57046.21
AUT  1956     50     1906        57629.34
AUT  1956     51     1905        55227.86
AUT  1956     52     1904        56206.04
AUT  1956     53     1903        55007.48
AUT  1956     54     1902        55567.28
AUT  1956     55     1901        54374.92
AUT  1957     12     1945        21901.84
AUT  1957     13     1944        52568.94
AUT  1957     14     1943        52990.46
AUT  1957     15     1942        52623.80
AUT  1957     16     1941        61392.75
AUT  1957     17     1940        66155.17
AUT  1957     18     1939        62994.91
AUT  1957     19     1938        43169.67
AUT  1957     20     1937        38790.97
AUT  1957     21     1936        39053.87
AUT  1957     22     1935        38950.69
AUT  1957     23     1934        39843.94
AUT  1957     24     1933        40982.57
AUT  1957     25     1932        43038.78
AUT  1957     26     1931        43829.18
AUT  1957     27     1930        46240.87
AUT  1957     28     1929        45614.23
AUT  1957     29     1928        46823.49
AUT  1957     30     1927        47067.35
AUT  1957     31     1926        50488.34
AUT  1957     32     1925        54612.12
AUT  1957     33     1924        56448.38
AUT  1957     34     1923        58457.17
AUT  1957     35     1922        58975.17
AUT  1957     36     1921        58671.40
AUT  1957     37     1920        57103.11
AUT  1957     38     1919        45388.92
AUT  1957     39     1918        31527.42
AUT  1957     40     1917        30073.91
AUT  1957     41     1916        32613.39
AUT  1957     42     1915        40703.59
AUT  1957     43     1914        54087.24
AUT  1957     44     1913        54993.36
AUT  1957     45     1912        57373.18
AUT  1957     46     1911        55069.11
AUT  1957     47     1910        58156.77
AUT  1957     48     1909        57825.91
AUT  1957     49     1908        56793.22
AUT  1957     50     1907        56712.80
AUT  1957     51     1906        57286.19
AUT  1957     52     1905        54845.60
AUT  1957     53     1904        55793.12
AUT  1957     54     1903        54588.49
AUT  1957     55     1902        55107.23
AUT  1958     12     1946        21676.43
AUT  1958     13     1945        39890.40
AUT  1958     14     1944        52570.09
AUT  1958     15     1943        52940.96
AUT  1958     16     1942        52532.21
AUT  1958     17     1941        61277.72
AUT  1958     18     1940        65993.38
AUT  1958     19     1939        62825.54
AUT  1958     20     1938        42982.92
AUT  1958     21     1937        38586.62
AUT  1958     22     1936        38815.55
AUT  1958     23     1935        38682.29
AUT  1958     24     1934        39564.28
AUT  1958     25     1933        40741.74
AUT  1958     26     1932        42803.22
AUT  1958     27     1931        43625.14
AUT  1958     28     1930        46028.22
AUT  1958     29     1929        45424.46
AUT  1958     30     1928        46623.57
AUT  1958     31     1927        46874.30
AUT  1958     32     1926        50285.43
AUT  1958     33     1925        54393.72
AUT  1958     34     1924        56227.35
AUT  1958     35     1923        58242.78
AUT  1958     36     1922        58754.09
AUT  1958     37     1921        58463.75
AUT  1958     38     1920        56901.38
AUT  1958     39     1919        45215.08
AUT  1958     40     1918        31415.53
AUT  1958     41     1917        29957.16
AUT  1958     42     1916        32497.21
AUT  1958     43     1915        40530.25
AUT  1958     44     1914        53887.62
AUT  1958     45     1913        54783.23
AUT  1958     46     1912        57118.55
AUT  1958     47     1911        54812.16
AUT  1958     48     1910        57866.90
AUT  1958     49     1909        57522.53
AUT  1958     50     1908        56495.54
AUT  1958     51     1907        56385.78
AUT  1958     52     1906        56951.24
AUT  1958     53     1905        54476.79
AUT  1958     54     1904        55377.99
AUT  1958     55     1903        54180.53
AUT  1959     12     1947        27850.66
AUT  1959     13     1946        46366.40
AUT  1959     14     1945        39855.09
AUT  1959     15     1944        52563.22
AUT  1959     16     1943        52891.96
AUT  1959     17     1942        52454.16
AUT  1959     18     1941        61179.83
AUT  1959     19     1940        65857.90
AUT  1959     20     1939        62677.29
AUT  1959     21     1938        42825.25
AUT  1959     22     1937        38421.28
AUT  1959     23     1936        38621.09
AUT  1959     24     1935        38465.74
AUT  1959     25     1934        39338.54
AUT  1959     26     1933        40546.61
AUT  1959     27     1932        42613.06
AUT  1959     28     1931        43458.07
AUT  1959     29     1930        45852.50
AUT  1959     30     1929        45270.60
AUT  1959     31     1928        46454.64
AUT  1959     32     1927        46710.83
AUT  1959     33     1926        50112.13
AUT  1959     34     1925        54206.45
AUT  1959     35     1924        56028.42
AUT  1959     36     1923        58051.80
AUT  1959     37     1922        58560.91
AUT  1959     38     1921        58271.28
AUT  1959     39     1920        56706.74
AUT  1959     40     1919        45058.60
AUT  1959     41     1918        31300.02
AUT  1959     42     1917        29845.66
AUT  1959     43     1916        32388.08
AUT  1959     44     1915        40361.04
AUT  1959     45     1914        53691.78
AUT  1959     46     1913        54557.62
AUT  1959     47     1912        56875.79
AUT  1959     48     1911        54553.60
AUT  1959     49     1910        57593.26
AUT  1959     50     1909        57239.57
AUT  1959     51     1908        56199.57
AUT  1959     52     1907        56053.69
AUT  1959     53     1906        56601.08
AUT  1959     54     1905        54119.19
AUT  1959     55     1904        54961.84
AUT  1960     12     1948        26645.82
AUT  1960     13     1947        53772.74
AUT  1960     14     1946        46362.86
AUT  1960     15     1945        39827.73
AUT  1960     16     1944        52537.53
AUT  1960     17     1943        52856.98
AUT  1960     18     1942        52413.21
AUT  1960     19     1941        61126.42
AUT  1960     20     1940        65788.37
AUT  1960     21     1939        62593.68
AUT  1960     22     1938        42741.89
AUT  1960     23     1937        38322.07
AUT  1960     24     1936        38505.45
AUT  1960     25     1935        38346.44
AUT  1960     26     1934        39211.94
AUT  1960     27     1933        40430.67
AUT  1960     28     1932        42497.48
AUT  1960     29     1931        43344.87
AUT  1960     30     1930        45741.89
AUT  1960     31     1929        45163.17
AUT  1960     32     1928        46338.78
AUT  1960     33     1927        46594.01
AUT  1960     34     1926        49988.87
AUT  1960     35     1925        54073.28
AUT  1960     36     1924        55888.40
AUT  1960     37     1923        57918.93
AUT  1960     38     1922        58422.68
AUT  1960     39     1921        58128.16
AUT  1960     40     1920        56543.51
AUT  1960     41     1919        44932.60
AUT  1960     42     1918        31204.74
AUT  1960     43     1917        29745.82
AUT  1960     44     1916        32287.99
AUT  1960     45     1915        40220.99
AUT  1960     46     1914        53497.65
AUT  1960     47     1913        54348.11
AUT  1960     48     1912        56656.04
AUT  1960     49     1911        54296.88
AUT  1960     50     1910        57316.29
AUT  1960     51     1909        56966.35
AUT  1960     52     1908        55881.92
AUT  1960     53     1907        55725.44
AUT  1960     54     1906        56236.03
AUT  1960     55     1905        53766.30
AUT  1961     12     1949        25649.29
AUT  1961     13     1948        52136.85
AUT  1961     14     1947        53747.34
AUT  1961     15     1946        46310.72
AUT  1961     16     1945        39744.12
AUT  1961     17     1944        52423.18
AUT  1961     18     1943        52703.29
AUT  1961     19     1942        52255.08
AUT  1961     20     1941        60951.77
AUT  1961     21     1940        65571.71
AUT  1961     22     1939        62420.30
AUT  1961     23     1938        42632.13
AUT  1961     24     1937        38225.85
AUT  1961     25     1936        38447.28
AUT  1961     26     1935        38291.26
AUT  1961     27     1934        39154.72
AUT  1961     28     1933        40365.42
AUT  1961     29     1932        42438.73
AUT  1961     30     1931        43294.00
AUT  1961     31     1930        45669.22
AUT  1961     32     1929        45080.73
AUT  1961     33     1928        46261.49
AUT  1961     34     1927        46522.91
AUT  1961     35     1926        49898.04
AUT  1961     36     1925        53971.84
AUT  1961     37     1924        55786.41
AUT  1961     38     1923        57802.28
AUT  1961     39     1922        58294.70
AUT  1961     40     1921        58032.10
AUT  1961     41     1920        56400.65
AUT  1961     42     1919        44819.35
AUT  1961     43     1918        31132.59
AUT  1961     44     1917        29672.04
AUT  1961     45     1916        32193.74
AUT  1961     46     1915        40106.14
AUT  1961     47     1914        53315.94
AUT  1961     48     1913        54153.51
AUT  1961     49     1912        56432.12
AUT  1961     50     1911        54072.73
AUT  1961     51     1910        57036.15
AUT  1961     52     1909        56672.76
AUT  1961     53     1908        55555.77
AUT  1961     54     1907        55386.95
AUT  1961     55     1906        55862.61
AUT  1962     12     1950        24606.95
AUT  1962     13     1949        48922.86
AUT  1962     14     1948        52172.96
AUT  1962     15     1947        53741.96
AUT  1962     16     1946        46205.17
AUT  1962     17     1945        39584.58
AUT  1962     18     1944        52187.43
AUT  1962     19     1943        52392.25
AUT  1962     20     1942        51959.89
AUT  1962     21     1941        60635.27
AUT  1962     22     1940        65223.44
AUT  1962     23     1939        62169.61
AUT  1962     24     1938        42503.64
AUT  1962     25     1937        38195.97
AUT  1962     26     1936        38438.46
AUT  1962     27     1935        38296.38
AUT  1962     28     1934        39159.41
