Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 25/09/2014
Code Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
AUT  1984     26.56     24.10     26.90     29.83     32.15     35.02     26.35     24.05     26.80     29.55     31.65     33.72
AUT  1985     26.68     24.32     27.06     29.99     32.16     34.93     26.48     24.26     26.96     29.72     31.67     33.65
AUT  1986     26.77     24.41     27.22     30.10     32.37     35.04     26.56     24.35     27.12     29.86     31.78     33.65
AUT  1987     26.91     24.63     27.37     30.24     32.46     35.16     26.69     24.57     27.28     29.98     31.78     33.73
AUT  1988     26.95     24.72     27.45     30.35     32.54     35.01     26.75     24.67     27.36     30.06     32.01     33.71
AUT  1989     27.07     24.82     27.59     30.44     32.62     34.89     26.88     24.76     27.50     30.17     31.99     33.73
AUT  1990     27.21     24.97     27.76     30.64     32.62     35.05     27.01     24.91     27.65     30.35     32.00     33.60
AUT  1991     27.22     24.95     27.89     30.60     32.66     35.05     27.03     24.90     27.79     30.34     32.08     33.74
AUT  1992     27.26     25.04     27.91     30.64     32.79     34.95     27.07     24.98     27.79     30.37     32.20     33.73
AUT  1993     27.31     25.14     27.92     30.74     32.73     34.98     27.11     25.06     27.80     30.44     32.11     33.69
AUT  1994     27.50     25.41     28.08     30.75     32.73     34.89     27.29     25.33     27.96     30.42     32.14     33.53
AUT  1995     27.66     25.65     28.21     30.81     32.90     35.06     27.45     25.57     28.09     30.47     32.18     33.77
AUT  1996     27.81     25.91     28.34     30.91     32.93     34.81     27.60     25.81     28.20     30.59     32.22     33.64
AUT  1997     27.93     26.00     28.55     31.11     33.15     35.22     27.70     25.91     28.39     30.74     32.45     33.86
AUT  1998     28.01     26.15     28.64     31.03     32.93     35.22     27.79     26.06     28.47     30.68     32.22     33.90
AUT  1999     28.15     26.31     28.83     31.05     33.00     35.24     27.90     26.19     28.65     30.66     32.18     33.92
AUT  2000     28.22     26.39     28.92     31.19     32.96     35.09     27.98     26.29     28.75     30.82     32.18     33.74
AUT  2001     28.39     26.54     29.19     31.38     33.03     35.07     28.12     26.41     29.00     30.94     32.21     33.52
AUT  2002     28.57     26.76     29.32     31.41     33.02     34.84     28.30     26.62     29.12     30.97     32.24     33.51
AUT  2003     28.76     26.93     29.48     31.70     33.23     35.00     28.47     26.79     29.27     31.22     32.46     33.58
AUT  2004     28.84     27.05     29.59     31.61     33.20     35.09     28.56     26.90     29.36     31.19     32.45     33.80
AUT  2005     29.03     27.26     29.79     31.69     33.24     34.98     28.73     27.10     29.56     31.26     32.44     33.58
AUT  2006     29.21     27.48     29.95     31.83     33.30     35.28     28.89     27.31     29.68     31.36     32.51     33.79
AUT  2007     29.37     27.65     30.02     32.07     33.54     34.88     29.04     27.47     29.75     31.59     32.71     33.60
AUT  2008     29.48     27.76     30.21     32.19     33.54     35.21     29.13     27.56     29.91     31.64     32.77     33.87
AUT  2009     29.67     27.96     30.46     32.23     33.52     35.13     29.31     27.73     30.16     31.71     32.62     33.85
AUT  2010     29.82     28.22     30.53     32.36     33.65     34.99     29.45     27.98     30.23     31.81     32.83     33.71
BLR  1964     28.40     24.82     28.41     31.27     33.30     36.78     27.82     24.63     28.17     30.80     32.50     34.66
BLR  1965     28.33     24.86     28.43     31.34     33.43     36.61     27.74     24.68     28.17     30.84     32.49     34.50
BLR  1966     28.22     24.64     28.34     31.04     33.45     36.47     27.66     24.46     28.08     30.58     32.60     34.54
BLR  1967     27.98     24.59     28.19     31.43     33.41     36.45     27.49     24.44     27.96     30.97     32.62     34.62
BLR  1968     27.92     24.57     28.36     31.31     33.35     36.38     27.39     24.33     28.10     30.82     32.56     34.44
BLR  1969     27.74     24.39     28.32     31.23     33.22     36.27     27.28     24.20     28.09     30.78     32.48     34.54
BLR  1970     27.46     24.07     28.22     31.19     33.13     35.99     27.06     23.94     28.03     30.78     32.38     34.34
BLR  1971     27.27     23.89     28.17     31.08     33.01     35.96     26.89     23.75     28.00     30.69     32.30     34.39
BLR  1972     27.16     23.81     28.11     31.09     32.99     35.75     26.79     23.67     27.94     30.68     32.31     34.24
BLR  1973     27.08     23.76     28.03     31.12     33.08     35.87     26.72     23.62     27.87     30.73     32.33     34.33
BLR  1974     26.94     23.65     27.95     31.16     33.02     35.66     26.61     23.54     27.78     30.76     32.36     34.26
BLR  1975     26.79     23.55     27.79     30.99     33.03     35.72     26.47     23.45     27.64     30.60     32.32     34.35
BLR  1976     26.61     23.49     27.70     31.00     32.91     35.53     26.31     23.39     27.55     30.59     32.19     34.20
BLR  1977     26.51     23.41     27.64     30.94     32.99     35.53     26.20     23.32     27.49     30.54     32.24     34.03
BLR  1978     26.26     23.35     27.49     30.66     32.72     35.45     25.99     23.26     27.36     30.26     31.96     34.13
BLR  1979     26.09     23.27     27.48     30.53     32.63     35.38     25.84     23.19     27.35     30.15     31.90     34.04
BLR  1980     25.94     23.19     27.37     30.40     32.39     35.25     25.71     23.12     27.26     30.02     31.63     33.93
BLR  1981     26.02     23.28     27.33     30.37     32.45     35.43     25.79     23.21     27.22     29.99     31.72     33.96
BLR  1982     25.98     23.25     27.26     30.25     32.40     35.33     25.77     23.20     27.16     29.93     31.71     33.94
BLR  1983     26.06     23.22     27.32     30.12     32.14     35.07     25.88     23.17     27.25     29.85     31.52     33.69
BLR  1984     25.94     23.20     27.23     30.13     32.20     34.95     25.76     23.16     27.15     29.79     31.51     33.65
BLR  1985     25.84     23.16     27.14     30.04     31.79     34.68     25.66     23.12     27.05     29.71     31.11     33.42
BLR  1986     26.03     23.32     27.21     30.15     32.08     34.89     25.83     23.26     27.13     29.84     31.33     33.51
BLR  1987     25.71     23.13     27.02     30.05     31.95     34.81     25.52     23.07     26.93     29.71     31.18     33.51
BLR  1988     25.67     23.16     27.01     30.04     31.81     34.83     25.48     23.09     26.92     29.71     31.15     33.45
BLR  1989     25.44     23.10     26.87     29.87     31.87     34.42     25.27     23.02     26.80     29.51     31.07     33.23
BLR  1990     25.15     22.90     26.76     29.59     31.61     34.07     25.00     22.85     26.67     29.30     30.95     32.98
BLR  1991     24.99     22.90     26.64     29.45     31.43     34.14     24.84     22.84     26.55     29.11     30.87     33.08
BLR  1992     24.88     22.84     26.50     29.36     31.28     34.19     24.73     22.78     26.43     29.02     30.56     32.97
BLR  1993     24.90     22.84     26.54     29.46     31.36     33.94     24.76     22.78     26.46     29.12     30.76     32.87
BLR  1994     24.87     22.81     26.74     29.48     31.35     34.04     24.73     22.75     26.66     29.15     30.77     32.96
BLR  1995     24.92     22.88     26.87     29.55     31.59     34.26     24.77     22.82     26.79     29.22     31.01     33.00
BLR  1996     24.96     23.00     26.95     29.64     31.40     34.02     24.82     22.94     26.87     29.29     30.76     32.97
BLR  1997     25.07     22.98     27.05     29.71     31.47     34.11     24.92     22.93     26.97     29.37     30.83     32.97
BLR  1998     25.27     23.14     27.22     29.85     31.55     34.03     25.14     23.09     27.15     29.54     30.98     32.96
BLR  1999     25.35     23.20     27.42     30.05     31.58     33.89     25.22     23.16     27.34     29.69     30.93     32.91
BLR  2000     25.57     23.38     27.72     30.32     31.75     34.05     25.44     23.33     27.65     30.00     31.11     32.99
BLR  2001     25.70     23.40     27.93     30.36     31.80     34.17     25.56     23.36     27.84     29.97     31.21     33.01
BLR  2002     25.87     23.63     28.13     30.68     31.95     34.05     25.73     23.58     28.04     30.24     31.24     33.13
BLR  2003     25.97     23.74     28.29     30.67     32.22     34.45     25.81     23.70     28.18     30.25     31.55     33.26
BLR  2004     26.16     23.92     28.48     30.94     32.56     34.50     26.00     23.87     28.37     30.47     31.77     33.52
BLR  2005     26.39     24.10     28.67     31.03     32.46     34.50     26.23     24.05     28.55     30.61     31.67     33.48
BLR  2006     26.55     24.20     28.79     31.23     32.59     34.42     26.40     24.15     28.68     30.86     31.87     33.30
BLR  2007     26.82     24.34     28.98     31.44     32.66     34.25     26.66     24.29     28.86     31.05     31.97     33.19
BLR  2008     26.97     24.46     29.13     31.56     32.85     34.62     26.80     24.41     28.99     31.15     32.19     33.50
BLR  2009     27.14     24.60     29.28     31.83     32.98     34.68     26.95     24.55     29.14     31.30     32.19     33.52
BLR  2010     27.37     24.85     29.35     31.76     33.12     34.81     27.18     24.80     29.20     31.31     32.41     33.47
BLR  2011     27.48     24.95     29.38     31.78     33.05     34.68     27.28     24.88     29.22     31.35     32.25     33.52
BLR  2012     27.54     25.02     29.45     31.82     33.02     34.66     27.33     24.95     29.28     31.38     32.34     33.43
BGR  1947     27.24     23.02     26.51     29.05     31.17     35.07     26.72     22.94     26.39     28.79     30.67     33.42
BGR  1948     27.16     22.93     26.38     28.94     31.19     35.14     26.64     22.87     26.25     28.68     30.66     33.53
BGR  1949     27.03     22.74     26.25     28.85     31.00     35.08     26.51     22.67     26.14     28.57     30.47     33.48
BGR  1950     27.04     22.72     26.35     28.89     31.19     35.21     26.46     22.64     26.21     28.56     30.52     33.46
BGR  1951     26.68     22.60     26.22     28.78     30.96     35.05     26.16     22.53     26.09     28.49     30.44     33.34
BGR  1952     26.54     22.50     26.09     28.70     30.97     34.95     26.06     22.44     25.99     28.42     30.34     33.34
BGR  1953     26.43     22.43     26.10     28.73     31.15     35.16     25.94     22.37     26.00     28.38     30.53     33.48
BGR  1954     26.33     22.36     26.18     28.79     31.16     35.06     25.88     22.30     26.09     28.50     30.56     33.40
BGR  1955     26.13     22.40     26.05     28.53     30.95     35.02     25.68     22.36     25.96     28.24     30.38     33.32
BGR  1956     25.92     22.39     25.98     28.45     30.78     34.95     25.49     22.34     25.89     28.18     30.19     33.22
BGR  1957     25.56     22.32     25.86     28.03     30.57     34.66     25.19     22.28     25.78     27.82     30.03     32.97
BGR  1958     25.48     22.29     25.91     27.99     30.36     34.71     25.12     22.25     25.84     27.77     29.80     32.92
BGR  1959     25.17     22.11     25.84     27.87     30.26     34.75     24.85     22.07     25.79     27.66     29.76     32.98
BGR  1960     25.07     22.06     25.80     27.71     30.20     34.52     24.77     22.02     25.74     27.53     29.62     32.82
BGR  1961     25.06     22.03     25.85     27.77     30.01     34.42     24.80     21.99     25.80     27.56     29.49     32.80
BGR  1962     25.10     22.05     25.82     27.75     29.82     34.57     24.82     22.00     25.77     27.56     29.40     32.82
BGR  1963     25.01     22.04     25.82     27.65     29.75     34.26     24.76     21.99     25.76     27.46     29.29     32.78
BGR  1964     24.87     22.04     25.73     27.58     29.61     34.39     24.63     21.99     25.68     27.37     29.23     32.78
BGR  1965     24.85     22.08     25.73     27.44     29.36     33.89     24.63     22.03     25.66     27.26     29.02     32.50
BGR  1966     24.75     22.02     25.70     27.35     29.35     33.73     24.54     21.97     25.64     27.20     29.02     32.41
BGR  1967     24.67     22.03     25.67     27.31     29.31     33.62     24.47     21.97     25.61     27.16     28.98     32.30
BGR  1968     24.71     21.97     25.62     27.51     29.41     33.78     24.53     21.92     25.56     27.37     29.12     32.38
BGR  1969     24.78     21.98     25.73     27.65     29.44     33.64     24.61     21.94     25.67     27.51     29.14     32.29
BGR  1970     24.67     21.99     25.71     27.56     29.08     33.55     24.52     21.93     25.66     27.40     28.80     32.39
BGR  1971     24.55     22.00     25.60     27.52     29.04     33.45     24.40     21.95     25.54     27.34     28.81     32.23
BGR  1972     24.47     22.03     25.61     27.20     29.12     33.20     24.32     21.98     25.55     27.02     28.76     32.06
BGR  1973     24.42     22.03     25.54     27.12     28.98     33.10     24.28     21.98     25.48     26.93     28.66     31.96
BGR  1974     24.50     21.99     25.60     27.20     28.80     32.94     24.38     21.94     25.55     27.00     28.52     31.90
BGR  1975     24.45     22.01     25.55     27.10     28.85     32.80     24.33     21.96     25.49     26.94     28.57     31.66
BGR  1976     24.32     21.96     25.43     26.87     28.71     32.79     24.20     21.92     25.37     26.73     28.44     31.74
