England and Wales, Total Population, Life expectancy at birth (period, 1x10)     Last modified: 03-Nov-2010, MPv5 (May07)

  Year        Female   Male    Total
1841-1849      41.31   39.36   40.41
1850-1859      42.14   40.10   41.18
1860-1869      42.78   40.19   41.54
1870-1879      44.46   41.20   42.91
1880-1889      46.99   43.84   45.47
1890-1899      47.78   44.34   46.13
1900-1909      51.86   48.07   50.01
1910-1919      55.18   45.09   49.86
1920-1929      60.71   56.64   58.78
1930-1939      64.10   59.89   62.11
1940-1949      68.09   60.73   64.39
1950-1959      72.82   67.38   70.23
1960-1969      74.56   68.43   71.65
1970-1979      75.78   69.59   72.84
1980-1989      77.62   71.80   74.91
1990-1999      79.36   74.14   76.97
2000-2009      81.31   76.99   79.33
