England and Wales, Total Population, Life tables (cohort 5x10), Total     Last modified: 03-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.17069  0.15364  0.35  100000   15364   90013  4140305  41.40
1841-1849      1-4      0.03729  0.13603  1.41   84636   11513  308778  4050291  47.86
1841-1849      5-9      0.00910  0.04429  1.99   73123    3239  355852  3741513  51.17
1841-1849     10-14     0.00488  0.02410  2.52   69884    1684  345246  3385661  48.45
1841-1849     15-19     0.00663  0.03262  2.63   68200    2225  335720  3040415  44.58
1841-1849     20-24     0.00840  0.04116  2.54   65975    2715  323196  2704695  41.00
1841-1849     25-29     0.00891  0.04357  2.50   63260    2756  309414  2381500  37.65
1841-1849     30-34     0.00951  0.04648  2.53   60504    2812  295574  2072085  34.25
1841-1849     35-39     0.01092  0.05319  2.53   57692    3069  280887  1776511  30.79
1841-1849     40-44     0.01281  0.06212  2.55   54624    3393  264819  1495624  27.38
1841-1849     45-49     0.01528  0.07366  2.55   51230    3774  246908  1230806  24.02
1841-1849     50-54     0.01896  0.09063  2.57   47457    4301  226838   983897  20.73
1841-1849     55-59     0.02518  0.11865  2.57   43156    5120  203342   757059  17.54
1841-1849     60-64     0.03349  0.15483  2.57   38035    5889  175839   553717  14.56
1841-1849     65-69     0.04642  0.20851  2.56   32146    6703  144389   377878  11.75
1841-1849     70-74     0.07048  0.30049  2.55   25443    7646  108476   233489   9.18
1841-1849     75-79     0.10502  0.41416  2.45   17798    7371   70189   125013   7.02
1841-1849     80-84     0.15674  0.55619  2.39   10427    5799   37000    54824   5.26
1841-1849     85-89     0.23585  0.70634  2.16    4628    3269   13859    17824   3.85
1841-1849     90-94     0.32520  0.82144  1.99    1359    1116    3432     3966   2.92
1841-1849     95-99     0.44748  0.91172  1.75     243     221     494      533   2.20
1841-1849    100-104    0.54134  0.94359  1.55      21      20      37       39   1.82
1841-1849    105-109    0.75515  1.00000  1.32       1       1       2        2   1.32
1841-1849    110+             .        .     .       0       0       0        0      .
1850-1859        0      0.17155  0.15434  0.35  100000   15434   89968  4305807  43.06
1850-1859      1-4      0.03650  0.13336  1.41   84566   11278  308999  4215839  49.85
1850-1859      5-9      0.00844  0.04113  1.96   73288    3015  357288  3906840  53.31
1850-1859     10-14     0.00443  0.02189  2.52   70274    1538  347558  3549552  50.51
1850-1859     15-19     0.00578  0.02851  2.61   68735    1960  338996  3201994  46.58
1850-1859     20-24     0.00686  0.03372  2.51   66776    2251  328277  2862998  42.87
1850-1859     25-29     0.00725  0.03559  2.51   64524    2297  316911  2534721  39.28
1850-1859     30-34     0.00829  0.04061  2.56   62227    2527  304958  2217810  35.64
1850-1859     35-39     0.00980  0.04787  2.55   59700    2858  291512  1912851  32.04
1850-1859     40-44     0.01158  0.05629  2.53   56842    3200  276321  1621339  28.52
1850-1859     45-49     0.01361  0.06584  2.56   53643    3532  259579  1345019  25.07
1850-1859     50-54     0.01658  0.07970  2.57   50111    3994  240841  1085440  21.66
1850-1859     55-59     0.02177  0.10343  2.60   46117    4770  219128   844598  18.31
1850-1859     60-64     0.03006  0.14014  2.59   41347    5794  192774   625471  15.13
1850-1859     65-69     0.04222  0.19152  2.58   35553    6809  161290   432697  12.17
1850-1859     70-74     0.06568  0.28352  2.59   28744    8149  124071   271407   9.44
1850-1859     75-79     0.10362  0.41038  2.47   20594    8451   81561   147336   7.15
1850-1859     80-84     0.15250  0.54464  2.38   12143    6613   43366    65775   5.42
1850-1859     85-89     0.22248  0.68431  2.19    5529    3784   17008    22409   4.05
1850-1859     90-94     0.30312  0.79732  2.03    1746    1392    4591     5401   3.09
1850-1859     95-99     0.42599  0.89909  1.79     354     318     747      810   2.29
1850-1859    100-104    0.55940  0.95554  1.55      36      34      61       63   1.77
1850-1859    105-109    0.74271  0.98060  1.25       2       2       2        2   1.35
1850-1859    110+       0.67416  1.00000  1.48       0       0       0        0   1.48
1860-1869        0      0.17083  0.15376  0.35  100000   15376   90006  4538903  45.39
1860-1869      1-4      0.03530  0.12908  1.34   84624   10924  309488  4448897  52.57
1860-1869      5-9      0.00721  0.03526  1.98   73701    2599  360661  4139409  56.17
1860-1869     10-14     0.00358  0.01777  2.51   71102    1263  352360  3778748  53.15
1860-1869     15-19     0.00465  0.02302  2.61   69839    1608  345351  3426388  49.06
1860-1869     20-24     0.00555  0.02739  2.53   68231    1869  336546  3081037  45.16
1860-1869     25-29     0.00609  0.03000  2.53   66363    1991  326898  2744491  41.36
1860-1869     30-34     0.00695  0.03417  2.54   64371    2200  316452  2417593  37.56
1860-1869     35-39     0.00820  0.04017  2.55   62172    2497  304740  2101141  33.80
1860-1869     40-44     0.00915  0.04476  2.53   59674    2671  291764  1796401  30.10
1860-1869     45-49     0.01121  0.05457  2.60   57003    3111  277540  1504637  26.40
1860-1869     50-54     0.01440  0.06955  2.57   53893    3748  260372  1227098  22.77
1860-1869     55-59     0.01801  0.08632  2.61   50145    4328  240361   966726  19.28
1860-1869     60-64     0.02589  0.12202  2.64   45816    5590  215915   726365  15.85
1860-1869     65-69     0.03965  0.18097  2.59   40226    7280  183590   510450  12.69
1860-1869     70-74     0.06173  0.26848  2.58   32946    8846  143288   326861   9.92
1860-1869     75-79     0.09375  0.37912  2.48   24101    9137   97463   183572   7.62
1860-1869     80-84     0.13766  0.50848  2.43   14964    7609   55271    86110   5.75
1860-1869     85-89     0.21290  0.66910  2.22    7355    4921   23115    30838   4.19
1860-1869     90-94     0.29645  0.78973  2.04    2434    1922    6483     7724   3.17
1860-1869     95-99     0.40032  0.87816  1.80     512     449    1123     1240   2.42
1860-1869    100-104    0.52026  0.93824  1.59      62      58     112      118   1.89
1860-1869    105-109    0.73940  0.98585  1.28       4       4       5        5   1.35
1860-1869    110+       0.80699  1.00000  1.24       0       0       0        0   1.24
1870-1879        0      0.16570  0.14959  0.35  100000   14959   90277  4840059  48.40
1870-1879      1-4      0.03001  0.11111  1.32   85041    9449  314808  4749783  55.85
1870-1879      5-9      0.00584  0.02869  1.96   75592    2169  371374  4434974  58.67
1870-1879     10-14     0.00293  0.01456  2.53   73423    1069  364472  4063601  55.34
1870-1879     15-19     0.00390  0.01933  2.61   72354    1398  358424  3699129  51.13
1870-1879     20-24     0.00457  0.02258  2.52   70956    1602  350813  3340705  47.08
1870-1879     25-29     0.00494  0.02442  2.53   69353    1694  342584  2989892  43.11
1870-1879     30-34     0.00546  0.02694  2.54   67659    1823  333808  2647308  39.13
1870-1879     35-39     0.00727  0.03573  2.66   65837    2352  323690  2313500  35.14
1870-1879     40-44     0.00839  0.04109  2.48   63485    2608  310862  1989810  31.34
1870-1879     45-49     0.00917  0.04486  2.55   60876    2731  297690  1678948  27.58
1870-1879     50-54     0.01171  0.05699  2.63   58145    3314  282863  1381258  23.76
1870-1879     55-59     0.01645  0.07917  2.65   54832    4341  263961  1098395  20.03
1870-1879     60-64     0.02467  0.11657  2.65   50491    5886  238612   834434  16.53
1870-1879     65-69     0.03591  0.16527  2.59   44605    7372  205266   595822  13.36
1870-1879     70-74     0.05418  0.23979  2.60   37233    8928  164776   390556  10.49
1870-1879     75-79     0.08704  0.35805  2.52   28305   10135  116431   225780   7.98
1870-1879     80-84     0.13151  0.49123  2.43   18171    8926   67875   109349   6.02
1870-1879     85-89     0.19605  0.63646  2.24    9245    5884   30013    41474   4.49
1870-1879     90-94     0.27126  0.75827  2.09    3361    2548    9395    11461   3.41
1870-1879     95-99     0.37920  0.86535  1.86     812     703    1854     2066   2.54
1870-1879    100-104    0.50518  0.93220  1.62     109     102     202      212   1.94
1870-1879    105-109    0.69506  0.98623  1.37       7       7      11       11   1.43
1870-1879    110+       1.17633  1.00000  0.85       0       0       0        0   0.85
1880-1889        0      0.15630  0.14188  0.35  100000   14188   90778  5040981  50.41
1880-1889      1-4      0.02631  0.09816  1.26   85812    8423  320196  4950204  57.69
1880-1889      5-9      0.00467  0.02303  1.98   77389    1782  381568  4630007  59.83
1880-1889     10-14     0.00242  0.01202  2.53   75606     909  375782  4248439  56.19
1880-1889     15-19     0.00319  0.01583  2.61   74697    1183  370662  3872657  51.84
1880-1889     20-24     0.00371  0.01836  2.54   73515    1350  364248  3501995  47.64
1880-1889     25-29     0.00701  0.03452  2.88   72165    2491  355538  3137747  43.48
1880-1889     30-34     0.00838  0.04101  2.40   69674    2857  340952  2782209  39.93
1880-1889     35-39     0.00643  0.03160  2.35   66816    2112  328483  2441257  36.54
1880-1889     40-44     0.00612  0.03014  2.56   64705    1950  318772  2112775  32.65
1880-1889     45-49     0.00790  0.03877  2.61   62755    2433  307969  1794003  28.59
1880-1889     50-54     0.01086  0.05295  2.63   60322    3194  294036  1486034  24.64
1880-1889     55-59     0.01496  0.07227  2.64   57128    4128  275909  1191998  20.87
1880-1889     60-64     0.02163  0.10290  2.65   52999    5454  252165   916089  17.28
1880-1889     65-69     0.03292  0.15266  2.63   47545    7259  220519   663923  13.96
