England and Wales, Total Population, Life tables (period 1x5), Total     Last modified: 03-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1844        0     0.16027  0.14491  0.34  100000   14491   90418  4164922  41.65
1841-1844        1     0.06313  0.06119  0.50   85509    5233   82893  4074504  47.65
1841-1844        2     0.03552  0.03490  0.50   80276    2802   78875  3991611  49.72
1841-1844        3     0.02431  0.02401  0.50   77474    1861   76544  3912736  50.50
1841-1844        4     0.01793  0.01777  0.50   75614    1344   74942  3836191  50.73
1841-1844        5     0.01381  0.01372  0.50   74270    1019   73761  3761250  50.64
1841-1844        6     0.01080  0.01074  0.50   73251     787   72858  3687489  50.34
1841-1844        7     0.00839  0.00835  0.50   72465     605   72162  3614631  49.88
1841-1844        8     0.00663  0.00661  0.50   71859     475   71622  3542469  49.30
1841-1844        9     0.00556  0.00554  0.50   71384     396   71186  3470847  48.62
1841-1844       10     0.00508  0.00507  0.50   70989     360   70809  3399661  47.89
1841-1844       11     0.00486  0.00485  0.50   70629     343   70458  3328852  47.13
1841-1844       12     0.00484  0.00483  0.50   70286     339   70117  3258395  46.36
1841-1844       13     0.00502  0.00501  0.50   69947     350   69772  3188278  45.58
1841-1844       14     0.00543  0.00541  0.50   69597     377   69409  3118506  44.81
1841-1844       15     0.00603  0.00601  0.50   69220     416   69012  3049097  44.05
1841-1844       16     0.00666  0.00663  0.50   68804     456   68576  2980085  43.31
1841-1844       17     0.00726  0.00723  0.50   68348     494   68101  2911509  42.60
1841-1844       18     0.00782  0.00779  0.50   67854     529   67589  2843408  41.91
1841-1844       19     0.00831  0.00828  0.50   67325     557   67046  2775819  41.23
1841-1844       20     0.00867  0.00864  0.50   66767     577   66479  2708773  40.57
1841-1844       21     0.00891  0.00887  0.50   66191     587   65897  2642294  39.92
1841-1844       22     0.00907  0.00902  0.50   65604     592   65308  2576396  39.27
1841-1844       23     0.00916  0.00912  0.50   65012     593   64715  2511088  38.63
1841-1844       24     0.00922  0.00918  0.50   64419     591   64123  2446373  37.98
1841-1844       25     0.00929  0.00924  0.50   63828     590   63533  2382250  37.32
1841-1844       26     0.00940  0.00936  0.50   63238     592   62942  2318717  36.67
1841-1844       27     0.00954  0.00949  0.50   62646     595   62349  2255775  36.01
1841-1844       28     0.00966  0.00961  0.50   62051     596   61753  2193426  35.35
1841-1844       29     0.00971  0.00966  0.50   61455     594   61158  2131673  34.69
1841-1844       30     0.00971  0.00966  0.50   60861     588   60567  2070514  34.02
1841-1844       31     0.00971  0.00966  0.50   60273     582   59982  2009947  33.35
1841-1844       32     0.00975  0.00970  0.50   59691     579   59401  1949965  32.67
1841-1844       33     0.00986  0.00981  0.50   59112     580   58822  1890564  31.98
1841-1844       34     0.01013  0.01008  0.50   58532     590   58237  1831742  31.29
1841-1844       35     0.01064  0.01058  0.50   57942     613   57635  1773505  30.61
1841-1844       36     0.01129  0.01123  0.50   57329     644   57007  1715870  29.93
1841-1844       37     0.01197  0.01190  0.50   56685     675   56348  1658863  29.26
1841-1844       38     0.01256  0.01248  0.50   56010     699   55661  1602515  28.61
1841-1844       39     0.01285  0.01276  0.50   55312     706   54959  1546854  27.97
1841-1844       40     0.01279  0.01271  0.50   54606     694   54258  1491896  27.32
