England and Wales, Total Population, Life tables (period 1x1), Females     Last modified: 03-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0     0.13607  0.12501  0.35  100000   12501   91874  4262593  42.63
  1841           1     0.05958  0.05785  0.50   87499    5062   84968  4170718  47.67
  1841           2     0.03641  0.03575  0.50   82437    2948   80963  4085750  49.56
  1841           3     0.02491  0.02461  0.50   79489    1956   78511  4004787  50.38
  1841           4     0.01846  0.01829  0.50   77533    1418   76824  3926276  50.64
  1841           5     0.01397  0.01387  0.50   76115    1056   75587  3849452  50.57
  1841           6     0.01087  0.01081  0.50   75060     811   74654  3773864  50.28
  1841           7     0.00859  0.00855  0.50   74248     635   73931  3699210  49.82
  1841           8     0.00686  0.00684  0.50   73613     503   73361  3625280  49.25
  1841           9     0.00577  0.00576  0.50   73110     421   72899  3551918  48.58
  1841          10     0.00530  0.00529  0.50   72689     384   72497  3479019  47.86
  1841          11     0.00511  0.00510  0.50   72305     369   72120  3406522  47.11
  1841          12     0.00515  0.00513  0.50   71936     369   71751  3334402  46.35
  1841          13     0.00545  0.00544  0.50   71567     389   71372  3262651  45.59
  1841          14     0.00601  0.00600  0.50   71177     427   70964  3191279  44.84
  1841          15     0.00673  0.00671  0.50   70751     475   70513  3120315  44.10
  1841          16     0.00746  0.00743  0.50   70276     522   70015  3049802  43.40
  1841          17     0.00814  0.00810  0.50   69754     565   69471  2979787  42.72
  1841          18     0.00868  0.00864  0.50   69188     598   68889  2910316  42.06
  1841          19     0.00889  0.00885  0.50   68590     607   68287  2841427  41.43
  1841          20     0.00874  0.00870  0.50   67983     591   67688  2773140  40.79
  1841          21     0.00873  0.00870  0.50   67392     586   67099  2705452  40.14
  1841          22     0.00893  0.00889  0.50   66806     594   66509  2638353  39.49
  1841          23     0.00908  0.00904  0.50   66212     598   65913  2571844  38.84
  1841          24     0.00934  0.00929  0.50   65614     610   65309  2505931  38.19
  1841          25     0.00974  0.00970  0.50   65004     630   64689  2440622  37.55
  1841          26     0.01002  0.00997  0.50   64374     642   64053  2375933  36.91
  1841          27     0.01007  0.01002  0.50   63732     639   63413  2311879  36.27
  1841          28     0.01008  0.01003  0.50   63094     633   62778  2248466  35.64
  1841          29     0.01006  0.01001  0.50   62461     625   62149  2185689  34.99
  1841          30     0.01003  0.00998  0.50   61836     617   61527  2123540  34.34
  1841          31     0.01005  0.01000  0.50   61219     612   60913  2062012  33.68
  1841          32     0.01013  0.01008  0.50   60607     611   60301  2001100  33.02
  1841          33     0.01029  0.01024  0.50   59996     614   59689  1940798  32.35
  1841          34     0.01079  0.01074  0.50   59382     638   59063  1881109  31.68
  1841          35     0.01178  0.01171  0.50   58744     688   58400  1822047  31.02
  1841          36     0.01254  0.01247  0.50   58056     724   57694  1763646  30.38
  1841          37     0.01279  0.01271  0.50   57333     729   56968  1705952  29.76
  1841          38     0.01293  0.01285  0.50   56604     727   56240  1648984  29.13
  1841          39     0.01267  0.01259  0.50   55876     704   55525  1592744  28.50
  1841          40     0.01199  0.01191  0.50   55173     657   54844  1537219  27.86
  1841          41     0.01166  0.01159  0.50   54516     632   54200  1482375  27.19
  1841          42     0.01178  0.01171  0.50   53884     631   53568  1428175  26.50
  1841          43     0.01201  0.01194  0.50   53253     636   52935  1374607  25.81
  1841          44     0.01267  0.01259  0.50   52617     662   52286  1321672  25.12
  1841          45     0.01395  0.01385  0.50   51955     720   51595  1269386  24.43
  1841          46     0.01507  0.01495  0.50   51235     766   50852  1217792  23.77
  1841          47     0.01553  0.01541  0.50   50469     778   50080  1166940  23.12
  1841          48     0.01582  0.01569  0.50   49691     780   49301  1116860  22.48
  1841          49     0.01566  0.01554  0.50   48911     760   48532  1067558  21.83
  1841          50     0.01500  0.01489  0.50   48152     717   47793  1019027  21.16
  1841          51     0.01481  0.01470  0.50   47435     697   47086   971234  20.48
  1841          52     0.01529  0.01517  0.50   46737     709   46383   924148  19.77
  1841          53     0.01601  0.01588  0.50   46028     731   45663   877765  19.07
  1841          54     0.01782  0.01766  0.50   45297     800   44897   832102  18.37
  1841          55     0.02176  0.02152  0.50   44497     958   44019   787204  17.69
  1841          56     0.02552  0.02520  0.50   43540    1097   42991   743186  17.07
  1841          57     0.02717  0.02681  0.50   42442    1138   41874   700195  16.50
  1841          58     0.02866  0.02826  0.50   41305    1167   40721   658321  15.94
  1841          59     0.02838  0.02798  0.50   40138    1123   39576   617600  15.39
  1841          60     0.02611  0.02577  0.50   39015    1006   38512   578024  14.82
  1841          61     0.02570  0.02537  0.50   38009     964   37527   539512  14.19
  1841          62     0.02738  0.02701  0.50   37045    1000   36544   501986  13.55
  1841          63     0.02937  0.02895  0.50   36044    1043   35522   465441  12.91
  1841          64     0.03327  0.03272  0.50   35001    1145   34428   429919  12.28
  1841          65     0.04104  0.04021  0.50   33855    1361   33175   395491  11.68
  1841          66     0.04848  0.04734  0.50   32494    1538   31725   362316  11.15
  1841          67     0.05225  0.05092  0.50   30956    1576   30168   330591  10.68
  1841          68     0.05604  0.05451  0.50   29380    1602   28579   300424  10.23
  1841          69     0.05843  0.05677  0.50   27778    1577   26990   271845   9.79
  1841          70     0.05867  0.05699  0.50   26201    1493   25454   244855   9.35
  1841          71     0.06066  0.05887  0.50   24708    1455   23980   219401   8.88
