England and Wales, Total Population, Life tables (period 1x5), Males     Last modified: 03-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1844        0     0.17977  0.16045  0.33  100000   16045   89250  4059049  40.59
1841-1844        1     0.06497  0.06293  0.50   83955    5283   81314  3969799  47.28
1841-1844        2     0.03566  0.03504  0.50   78672    2757   77294  3888485  49.43
1841-1844        3     0.02451  0.02422  0.50   75916    1838   74996  3811191  50.20
1841-1844        4     0.01819  0.01802  0.50   74077    1335   73410  3736195  50.44
1841-1844        5     0.01400  0.01391  0.50   72742    1012   72236  3662785  50.35
1841-1844        6     0.01097  0.01091  0.50   71731     783   71339  3590549  50.06
1841-1844        7     0.00854  0.00850  0.50   70948     603   70646  3519209  49.60
1841-1844        8     0.00676  0.00674  0.50   70345     474   70108  3448563  49.02
1841-1844        9     0.00566  0.00564  0.50   69871     394   69674  3378455  48.35
1841-1844       10     0.00512  0.00511  0.50   69476     355   69299  3308782  47.62
1841-1844       11     0.00483  0.00482  0.50   69121     333   68955  3239483  46.87
1841-1844       12     0.00472  0.00471  0.50   68788     324   68626  3170528  46.09
1841-1844       13     0.00481  0.00480  0.50   68464     328   68300  3101902  45.31
1841-1844       14     0.00511  0.00509  0.50   68136     347   67962  3033602  44.52
1841-1844       15     0.00561  0.00560  0.50   67788     379   67599  2965640  43.75
1841-1844       16     0.00619  0.00617  0.50   67409     416   67201  2898041  42.99
1841-1844       17     0.00679  0.00677  0.50   66993     453   66766  2830840  42.26
1841-1844       18     0.00739  0.00736  0.50   66540     490   66295  2764074  41.54
1841-1844       19     0.00796  0.00793  0.50   66050     524   65788  2697779  40.84
1841-1844       20     0.00849  0.00845  0.50   65526     554   65249  2631991  40.17
1841-1844       21     0.00890  0.00886  0.50   64972     575   64684  2566742  39.51
1841-1844       22     0.00917  0.00913  0.50   64397     588   64103  2502058  38.85
1841-1844       23     0.00933  0.00928  0.50   63809     592   63512  2437955  38.21
1841-1844       24     0.00936  0.00932  0.50   63216     589   62922  2374443  37.56
1841-1844       25     0.00933  0.00928  0.50   62627     581   62336  2311521  36.91
1841-1844       26     0.00933  0.00929  0.50   62046     576   61758  2249185  36.25
1841-1844       27     0.00937  0.00932  0.50   61469     573   61183  2187427  35.59
1841-1844       28     0.00940  0.00936  0.50   60896     570   60612  2126244  34.92
1841-1844       29     0.00940  0.00935  0.50   60327     564   60044  2065633  34.24
1841-1844       30     0.00936  0.00931  0.50   59762     557   59484  2005588  33.56
1841-1844       31     0.00933  0.00929  0.50   59206     550   58931  1946104  32.87
1841-1844       32     0.00936  0.00932  0.50   58656     547   58383  1887173  32.17
1841-1844       33     0.00949  0.00945  0.50   58109     549   57835  1828791  31.47
1841-1844       34     0.00979  0.00975  0.50   57560     561   57280  1770956  30.77
1841-1844       35     0.01034  0.01029  0.50   56999     586   56706  1713676  30.06
1841-1844       36     0.01104  0.01098  0.50   56413     619   56103  1656970  29.37
1841-1844       37     0.01175  0.01169  0.50   55794     652   55468  1600867  28.69
1841-1844       38     0.01239  0.01232  0.50   55142     679   54802  1545399  28.03
1841-1844       39     0.01276  0.01268  0.50   54463     691   54117  1490597  27.37
1841-1844       40     0.01282  0.01274  0.50   53772     685   53429  1436480  26.71
1841-1844       41     0.01274  0.01266  0.50   53087     672   52751  1383051  26.05
1841-1844       42     0.01270  0.01262  0.50   52415     661   52084  1330300  25.38
1841-1844       43     0.01278  0.01270  0.50   51753     657   51425  1278216  24.70
1841-1844       44     0.01316  0.01308  0.50   51096     668   50762  1226791  24.01
1841-1844       45     0.01395  0.01385  0.50   50428     698   50079  1176029  23.32
1841-1844       46     0.01505  0.01494  0.50   49730     743   49358  1125950  22.64
1841-1844       47     0.01630  0.01617  0.50   48987     792   48591  1076592  21.98
1841-1844       48     0.01746  0.01731  0.50   48195     834   47777  1028001  21.33
1841-1844       49     0.01818  0.01801  0.50   47360     853   46934   980224  20.70
1841-1844       50     0.01838  0.01821  0.50   46507     847   46084   933290  20.07
1841-1844       51     0.01839  0.01823  0.50   45660     832   45244   887206  19.43
1841-1844       52     0.01846  0.01830  0.50   44828     820   44418   841963  18.78
1841-1844       53     0.01876  0.01858  0.50   44008     818   43599   797545  18.12
1841-1844       54     0.01966  0.01947  0.50   43190     841   42769   753946  17.46
1841-1844       55     0.02157  0.02134  0.50   42349     904   41897   711177  16.79
1841-1844       56     0.02438  0.02409  0.50   41445     998   40946   669279  16.15
1841-1844       57     0.02774  0.02737  0.50   40447    1107   39893   628333  15.53
1841-1844       58     0.03113  0.03065  0.50   39340    1206   38737   588440  14.96
1841-1844       59     0.03319  0.03265  0.50   38134    1245   37512   549703  14.42
1841-1844       60     0.03344  0.03289  0.50   36889    1213   36282   512191  13.88
1841-1844       61     0.03318  0.03263  0.50   35676    1164   35094   475909  13.34
1841-1844       62     0.03329  0.03274  0.50   34512    1130   33947   440815  12.77
1841-1844       63     0.03415  0.03358  0.50   33382    1121   32821   406869  12.19
