England and Wales, Total Population, Life tables (period 5x10), Total     Last modified: 05-Jul-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.16896  0.15198  0.34  100000   15198   89951  4031458  40.31
1841-1849      1-4      0.03765  0.13732  1.43   84802   11645  309321  3941507  46.48
1841-1849      5-9      0.00938  0.04561  2.02   73157    3337  355837  3632187  49.65
1841-1849     10-14     0.00534  0.02638  2.53   69820    1842  344554  3276349  46.93
1841-1849     15-19     0.00748  0.03676  2.64   67978    2499  333992  2931795  43.13
1841-1849     20-24     0.00972  0.04747  2.53   65479    3109  319709  2597803  39.67
1841-1849     25-29     0.01012  0.04937  2.49   62371    3079  304133  2278094  36.53
1841-1849     30-34     0.01072  0.05221  2.51   59292    3096  288756  1973960  33.29
1841-1849     35-39     0.01228  0.05961  2.54   56196    3350  272752  1685204  29.99
1841-1849     40-44     0.01388  0.06709  2.50   52846    3545  255371  1412453  26.73
1841-1849     45-49     0.01567  0.07544  2.55   49301    3719  237378  1157081  23.47
1841-1849     50-54     0.01929  0.09207  2.54   45581    4197  217587   919704  20.18
1841-1849     55-59     0.02539  0.11963  2.60   41385    4951  195016   702117  16.97
1841-1849     60-64     0.03578  0.16448  2.55   36434    5993  167490   507100  13.92
1841-1849     65-69     0.05167  0.22954  2.57   30441    6988  135235   339610  11.16
1841-1849     70-74     0.07825  0.32710  2.49   23454    7672   98040   204375   8.71
1841-1849     75-79     0.11702  0.45041  2.44   15782    7108   60744   106335   6.74
1841-1849     80-84     0.15976  0.56184  2.36    8674    4873   30503    45591   5.26
1841-1849     85-89     0.22721  0.69266  2.18    3800    2632   11586    15087   3.97
1841-1849     90-94     0.31665  0.81068  1.99    1168     947    2990     3502   3.00
1841-1849     95-99     0.42228  0.89382  1.77     221     198     468      512   2.31
1841-1849    100-104    0.53470  0.94303  1.57      23      22      41       43   1.85
1841-1849    105-109    0.64442  0.96909  1.39       1       1       2        2   1.55
1841-1849    110+       0.72856  1.00000  1.37       0       0       0        0   1.37
1850-1859        0      0.17073  0.15341  0.34  100000   15341   89857  4110163  41.10
1850-1859      1-4      0.03656  0.13362  1.42   84659   11312  309435  4020306  47.49
1850-1859      5-9      0.00882  0.04298  2.01   73346    3152  357313  3710871  50.59
1850-1859     10-14     0.00505  0.02493  2.54   70194    1750  346666  3353558  47.78
1850-1859     15-19     0.00703  0.03458  2.63   68444    2367  336613  3006893  43.93
1850-1859     20-24     0.00900  0.04403  2.53   66078    2910  323210  2670280  40.41
1850-1859     25-29     0.00943  0.04608  2.49   63168    2911  308543  2347070  37.16
1850-1859     30-34     0.01011  0.04932  2.52   60257    2972  293924  2038527  33.83
1850-1859     35-39     0.01150  0.05590  2.53   57285    3202  278526  1744603  30.45
1850-1859     40-44     0.01322  0.06402  2.53   54083    3463  261854  1466077  27.11
1850-1859     45-49     0.01518  0.07315  2.53   50621    3703  243973  1204222  23.79
1850-1859     50-54     0.01861  0.08900  2.56   46917    4176  224396   960250  20.47
1850-1859     55-59     0.02429  0.11469  2.57   42742    4902  201806   735853  17.22
1850-1859     60-64     0.03425  0.15814  2.58   37840    5984  174737   534047  14.11
1850-1859     65-69     0.05043  0.22451  2.56   31856    7152  141810   359311  11.28
1850-1859     70-74     0.07557  0.31813  2.52   24704    7859  103993   217501   8.80
1850-1859     75-79     0.11512  0.44478  2.44   16845    7492   65081   113508   6.74
1850-1859     80-84     0.16433  0.57284  2.36    9353    5358   32602    48427   5.18
1850-1859     85-89     0.22867  0.69455  2.17    3995    2775   12135    15825   3.96
1850-1859     90-94     0.31387  0.80699  1.99    1220     985    3137     3691   3.02
1850-1859     95-99     0.41580  0.88941  1.78     236     209     504      553   2.35
1850-1859    100-104    0.52259  0.93868  1.59      26      24      47       49   1.89
1850-1859    105-109    0.62773  0.96583  1.42       2       2       2        3   1.59
1850-1859    110+       0.70921  1.00000  1.41       0       0       0        0   1.41
1860-1869        0      0.16917  0.15215  0.34  100000   15215   89941  4146652  41.47
1860-1869      1-4      0.03586  0.13113  1.38   84785   11118  310007  4056711  47.85
1860-1869      5-9      0.00792  0.03867  2.00   73667    2849  359789  3746704  50.86
1860-1869     10-14     0.00448  0.02217  2.55   70819    1570  350250  3386916  47.83
1860-1869     15-19     0.00644  0.03173  2.64   69248    2197  341059  3036665  43.85
1860-1869     20-24     0.00840  0.04116  2.54   67051    2760  328480  2695606  40.20
1860-1869     25-29     0.00924  0.04515  2.52   64291    2902  314251  2367126  36.82
1860-1869     30-34     0.01039  0.05065  2.53   61389    3109  299278  2052876  33.44
1860-1869     35-39     0.01195  0.05802  2.53   58280    3381  283044  1753598  30.09
1860-1869     40-44     0.01354  0.06549  2.52   54898    3596  265574  1470553  26.79
1860-1869     45-49     0.01546  0.07446  2.54   51303    3820  247109  1204979  23.49
1860-1869     50-54     0.01940  0.09264  2.57   47483    4399  226722   957870  20.17
1860-1869     55-59     0.02574  0.12113  2.57   43084    5219  202732   731147  16.97
1860-1869     60-64     0.03563  0.16394  2.57   37865    6208  174244   528416  13.96
1860-1869     65-69     0.05160  0.22905  2.55   31658    7251  140536   354172  11.19
1860-1869     70-74     0.07669  0.32195  2.51   24407    7858  102458   213636   8.75
1860-1869     75-79     0.11540  0.44546  2.44   16549    7372   63882   111178   6.72
1860-1869     80-84     0.16618  0.57715  2.35    9177    5297   31873    47296   5.15
1860-1869     85-89     0.22823  0.69347  2.17    3881    2691   11791    15423   3.97
1860-1869     90-94     0.31070  0.80326  1.99    1190     955    3075     3632   3.05
1860-1869     95-99     0.41030  0.88574  1.79     234     207     505      557   2.38
1860-1869    100-104    0.51426  0.93559  1.60      27      25      49       51   1.92
1860-1869    105-109    0.61740  0.96369  1.43       2       2       3        3   1.61
1860-1869    110+       0.69791  1.00000  1.43       0       0       0        0   1.43
1870-1879        0      0.16533  0.14904  0.34  100000   14904   90146  4280707  42.81
1870-1879      1-4      0.03103  0.11470  1.36   85096    9760  314570  4190561  49.25
1870-1879      5-9      0.00680  0.03332  2.01   75335    2510  369180  3875991  51.45
1870-1879     10-14     0.00383  0.01898  2.54   72826    1382  360732  3506811  48.15
1870-1879     15-19     0.00549  0.02711  2.65   71443    1936  352666  3146079  44.04
1870-1879     20-24     0.00738  0.03624  2.57   69507    2519  341405  2793414  40.19
1870-1879     25-29     0.00858  0.04202  2.54   66988    2815  328010  2452009  36.60
1870-1879     30-34     0.00996  0.04863  2.55   64173    3120  313211  2123999  33.10
1870-1879     35-39     0.01187  0.05769  2.55   61053    3522  296626  1810788  29.66
1870-1879     40-44     0.01402  0.06777  2.53   57531    3899  278025  1514162  26.32
1870-1879     45-49     0.01620  0.07787  2.53   53632    4176  257861  1236137  23.05
1870-1879     50-54     0.02003  0.09550  2.56   49455    4723  235760   978276  19.78
1870-1879     55-59     0.02644  0.12421  2.57   44733    5556  210164   742516  16.60
1870-1879     60-64     0.03747  0.17174  2.58   39176    6728  179579   532351  13.59
1870-1879     65-69     0.05484  0.24163  2.54   32448    7840  142970   352772  10.87
1870-1879     70-74     0.07976  0.33230  2.49   24608    8177  102529   209802   8.53
1870-1879     75-79     0.11827  0.45364  2.43   16430    7453   63019   107274   6.53
1870-1879     80-84     0.17570  0.59841  2.34    8977    5372   30574    44254   4.93
1870-1879     85-89     0.24125  0.71418  2.14    3605    2575   10672    13680   3.79
1870-1879     90-94     0.32707  0.82004  1.96    1030     845    2583     3008   2.92
1870-1879     95-99     0.42739  0.89601  1.76     185     166     389      425   2.29
1870-1879    100-104    0.53214  0.94168  1.57      19      18      34       36   1.86
1870-1879    105-109    0.63446  0.96699  1.41       1       1       2        2   1.57
1870-1879    110+       0.71358  1.00000  1.40       0       0       0        0   1.40
1880-1889        0      0.15549  0.14100  0.34  100000   14100   90678  4539864  45.40
1880-1889      1-4      0.02713  0.10113  1.30   85900    8687  320171  4449186  51.79
1880-1889      5-9      0.00541  0.02663  2.01   77213    2056  379927  4129015  53.48
1880-1889     10-14     0.00306  0.01517  2.55   75157    1140  372997  3749089  49.88
1880-1889     15-19     0.00445  0.02202  2.64   74017    1630  366241  3376092  45.61
1880-1889     20-24     0.00575  0.02835  2.56   72387    2052  356934  3009851  41.58
1880-1889     25-29     0.00685  0.03369  2.56   70335    2369  345900  2652917  37.72
1880-1889     30-34     0.00842  0.04126  2.57   67966    2804  333022  2307017  33.94
1880-1889     35-39     0.01053  0.05134  2.56   65161    3346  317648  1973995  30.29
1880-1889     40-44     0.01258  0.06099  2.54   61816    3770  299802  1656347  26.79
1880-1889     45-49     0.01505  0.07257  2.56   58045    4212  279938  1356545  23.37
1880-1889     50-54     0.01949  0.09307  2.58   53833    5010  257021  1076607  20.00
1880-1889     55-59     0.02618  0.12306  2.57   48823    6008  229514   819586  16.79
1880-1889     60-64     0.03633  0.16691  2.57   42815    7146  196706   590073  13.78
1880-1889     65-69     0.05286  0.23399  2.55   35669    8346  157891   393367  11.03
1880-1889     70-74     0.07838  0.32774  2.50   27322    8955  114242   235476   8.62
1880-1889     75-79     0.11587  0.44651  2.43   18368    8201   70778   121235   6.60
1880-1889     80-84     0.17476  0.59681  2.34   10166    6067   34718    50457   4.96
1880-1889     85-89     0.23818  0.70923  2.15    4099    2907   12205    15738   3.84
1880-1889     90-94     0.32121  0.81381  1.97    1192     970    3020     3533   2.96
1880-1889     95-99     0.42293  0.89335  1.77     222     198     469      513   2.31
1880-1889    100-104    0.52681  0.93988  1.58      24      22      42       44   1.88
1880-1889    105-109    0.62884  0.96591  1.41       1       1       2        2   1.58
1880-1889    110+       0.70803  1.00000  1.41       0       0       0        0   1.41
1890-1899        0      0.16897  0.15199  0.34  100000   15199   89951  4604573  46.05
1890-1899      1-4      0.02458  0.09214  1.27   84801    7814  317857  4514622  53.24
1890-1899      5-9      0.00449  0.02216  2.01   76987    1706  379831  4196765  54.51
1890-1899     10-14     0.00254  0.01261  2.57   75281     949  374095  3816934  50.70
1890-1899     15-19     0.00375  0.01857  2.64   74332    1380  368401  3442839  46.32
1890-1899     20-24     0.00481  0.02377  2.57   72952    1734  360543  3074438  42.14
1890-1899     25-29     0.00585  0.02882  2.57   71218    2052  351104  2713895  38.11
1890-1899     30-34     0.00735  0.03610  2.58   69165    2497  339796  2362791  34.16
1890-1899     35-39     0.00952  0.04654  2.59   66668    3103  325849  2022996  30.34
1890-1899     40-44     0.01207  0.05864  2.57   63565    3727  308753  1697147  26.70
1890-1899     45-49     0.01507  0.07270  2.56   59838    4350  288591  1388394  23.20
1890-1899     50-54     0.01941  0.09271  2.57   55488    5144  264957  1099803  19.82
1890-1899     55-59     0.02634  0.12381  2.58   50344    6233  236654   834847  16.58
1890-1899     60-64     0.03792  0.17363  2.58   44111    7659  202003   598193  13.56
1890-1899     65-69     0.05564  0.24467  2.54   36452    8919  160289   396189  10.87
1890-1899     70-74     0.07944  0.33099  2.48   27533    9113  114715   235900   8.57
1890-1899     75-79     0.11445  0.44225  2.43   18420    8146   71177   121185   6.58
1890-1899     80-84     0.17805  0.60476  2.35   10274    6213   34896    50008   4.87
1890-1899     85-89     0.24564  0.72156  2.14    4061    2930   11927    15112   3.72
1890-1899     90-94     0.33955  0.83323  1.94    1131     942    2774     3185   2.82
1890-1899     95-99     0.45077  0.90925  1.72     189     171     380      410   2.18
1890-1899    100-104    0.56322  0.95137  1.52      17      16      29       30   1.76
1890-1899    105-109    0.67032  0.97325  1.35       1       1       1        1   1.49
1890-1899    110+       0.75116  1.00000  1.33       0       0       0        0   1.33
1900-1909        0      0.14419  0.13164  0.34  100000   13164   91296  4995016  49.95
1900-1909      1-4      0.01893  0.07200  1.28   86836    6252  330350  4903720  56.47
1900-1909      5-9      0.00371  0.01835  2.04   80584    1479  398538  4573370  56.75
1900-1909     10-14     0.00217  0.01080  2.56   79105     855  393436  4174832  52.78
1900-1909     15-19     0.00309  0.01531  2.63   78250    1198  388416  3781396  48.32
1900-1909     20-24     0.00391  0.01939  2.56   77052    1494  381623  3392980  44.03
1900-1909     25-29     0.00469  0.02318  2.57   75558    1752  373532  3011357  39.85
1900-1909     30-34     0.00587  0.02894  2.59   73807    2136  363881  2637825  35.74
1900-1909     35-39     0.00767  0.03765  2.59   71671    2699  351857  2273944  31.73
1900-1909     40-44     0.00989  0.04831  2.58   68972    3332  336790  1922087  27.87
1900-1909     45-49     0.01288  0.06245  2.59   65640    4099  318327  1585297  24.15
1900-1909     50-54     0.01739  0.08345  2.59   61541    5136  295339  1266970  20.59
1900-1909     55-59     0.02437  0.11510  2.59   56406    6492  266391   971632  17.23
1900-1909     60-64     0.03428  0.15823  2.57   49913    7898  230383   705241  14.13
1900-1909     65-69     0.05039  0.22443  2.56   42015    9429  187116   474857  11.30
1900-1909     70-74     0.07523  0.31673  2.51   32586   10321  137195   287742   8.83
1900-1909     75-79     0.11145  0.43347  2.44   22265    9651   86598   150547   6.76
1900-1909     80-84     0.17037  0.58664  2.35   12614    7400   43435    63949   5.07
1900-1909     85-89     0.23060  0.69725  2.17    5214    3635   15765    20514   3.93
1900-1909     90-94     0.31624  0.80917  1.98    1579    1277    4039     4749   3.01
1900-1909     95-99     0.41464  0.88837  1.78     301     268     645      710   2.36
1900-1909    100-104    0.51822  0.93696  1.59      34      32      61       64   1.91
1900-1909    105-109    0.62085  0.96437  1.43       2       2       3        3   1.60
1900-1909    110+       0.70096  1.00000  1.43       0       0       0        0   1.43
1910-1919        0      0.10928  0.10179  0.33  100000   10179   93144  4995616  49.96
1910-1919      1-4      0.01581  0.06066  1.32   89821    5448  344673  4902473  54.58
1910-1919      5-9      0.00358  0.01771  2.07   84373    1495  417485  4557800  54.02
1910-1919     10-14     0.00228  0.01135  2.56   82878     940  412098  4140315  49.96
1910-1919     15-19     0.00650  0.03210  3.15   81938    2630  404811  3728217  45.50
1910-1919     20-24     0.01141  0.05545  2.47   79308    4398  385416  3323406  41.91
1910-1919     25-29     0.01024  0.04987  2.42   74910    3736  364908  2937991  39.22
1910-1919     30-34     0.00854  0.04179  2.42   71174    2974  348211  2573083  36.15
1910-1919     35-39     0.00822  0.04027  2.51   68200    2746  334170  2224872  32.62
1910-1919     40-44     0.00886  0.04336  2.53   65454    2838  320257  1890703  28.89
1910-1919     45-49     0.01111  0.05411  2.60   62616    3388  304955  1570445  25.08
1910-1919     50-54     0.01524  0.07354  2.61   59228    4356  285744  1265490  21.37
1910-1919     55-59     0.02115  0.10071  2.63   54872    5526  261267   979746  17.86
1910-1919     60-64     0.03133  0.14574  2.61   49346    7192  229543   718480  14.56
1910-1919     65-69     0.04570  0.20569  2.58   42154    8671  189743   488936  11.60
1910-1919     70-74     0.07337  0.31135  2.57   33483   10425  142080   299193   8.94
1910-1919     75-79     0.11135  0.43216  2.41   23058    9965   89490   157113   6.81
1910-1919     80-84     0.16090  0.56511  2.37   13093    7399   45987    67623   5.16
1910-1919     85-89     0.24162  0.71574  2.15    5694    4076   16868    21635   3.80
1910-1919     90-94     0.32050  0.81410  1.98    1619    1318    4111     4768   2.95
1910-1919     95-99     0.44939  0.90925  1.73     301     274     609      656   2.18
1910-1919    100-104    0.56925  0.95340  1.51      27      26      46       48   1.74
1910-1919    105-109    0.68238  0.97522  1.34       1       1       2        2   1.46
1910-1919    110+       0.76648  1.00000  1.30       0       0       0        0   1.30
1920-1929        0      0.07832  0.07406  0.27  100000    7406   94562  5868564  58.69
1920-1929      1-4      0.00993  0.03867  1.31   92594    3581  360730  5774001  62.36
1920-1929      5-9      0.00253  0.01256  2.12   89013    1118  441851  5413271  60.81
1920-1929     10-14     0.00169  0.00841  2.57   87895     739  437683  4971421  56.56
1920-1929     15-19     0.00259  0.01289  2.66   87157    1123  433152  4533738  52.02
1920-1929     20-24     0.00325  0.01610  2.54   86033    1385  426753  4100587  47.66
1920-1929     25-29     0.00353  0.01752  2.53   84648    1483  419584  3673834  43.40
1920-1929     30-34     0.00397  0.01964  2.56   83165    1633  411847  3254250  39.13
1920-1929     35-39     0.00498  0.02462  2.60   81532    2007  402846  2842403  34.86
1920-1929     40-44     0.00635  0.03127  2.59   79525    2487  391622  2439557  30.68
1920-1929     45-49     0.00854  0.04186  2.62   77038    3225  377529  2047935  26.58
1920-1929     50-54     0.01199  0.05832  2.64   73813    4305  358919  1670405  22.63
1920-1929     55-59     0.01731  0.08315  2.65   69508    5779  333964  1311486  18.87
1920-1929     60-64     0.02637  0.12415  2.65   63729    7912  300080   977522  15.34
1920-1929     65-69     0.04138  0.18821  2.60   55817   10505  253854   677443  12.14
1920-1929     70-74     0.06580  0.28388  2.58   45312   12863  195486   423588   9.35
1920-1929     75-79     0.10531  0.41526  2.45   32448   13475  127948   228103   7.03
1920-1929     80-84     0.15576  0.55351  2.39   18974   10502   67426   100155   5.28
1920-1929     85-89     0.23633  0.70763  2.17    8472    5995   25366    32728   3.86
1920-1929     90-94     0.31700  0.81197  2.00    2477    2011    6344     7363   2.97
1920-1929     95-99     0.44811  0.90888  1.73     466     423     945     1018   2.19
1920-1929    100-104    0.57097  0.95402  1.51      42      40      71       74   1.74
1920-1929    105-109    0.68664  0.97589  1.33       2       2       3        3   1.45
1920-1929    110+       0.77216  1.00000  1.30       0       0       0        0   1.30
1930-1939        0      0.06146  0.05865  0.22  100000    5865   95419  6200946  62.01
1930-1939      1-4      0.00589  0.02321  1.43   94135    2185  370924  6105526  64.86
1930-1939      5-9      0.00206  0.01026  2.11   91951     943  457031  5734602  62.37
1930-1939     10-14     0.00132  0.00660  2.56   91007     600  453574  5277571  57.99
1930-1939     15-19     0.00216  0.01076  2.68   90407     973  449782  4823997  53.36
1930-1939     20-24     0.00282  0.01400  2.53   89434    1252  444077  4374215  48.91
1930-1939     25-29     0.00291  0.01444  2.52   88182    1273  437756  3930138  44.57
1930-1939     30-34     0.00316  0.01569  2.56   86909    1363  431217  3492382  40.18
1930-1939     35-39     0.00399  0.01975  2.60   85545    1690  423673  3061165  35.78
1930-1939     40-44     0.00523  0.02581  2.61   83856    2164  414094  2637492  31.45
1930-1939     45-49     0.00753  0.03698  2.65   81691    3021  401365  2223398  27.22
1930-1939     50-54     0.01099  0.05354  2.64   78670    4212  383430  1822033  23.16
1930-1939     55-59     0.01605  0.07736  2.67   74458    5760  358842  1438602  19.32
1930-1939     60-64     0.02481  0.11723  2.66   68698    8053  324644  1079761  15.72
1930-1939     65-69     0.03864  0.17686  2.61   60645   10726  277603   755117  12.45
1930-1939     70-74     0.06270  0.27245  2.60   49919   13601  216914   477514   9.57
1930-1939     75-79     0.10133  0.40349  2.48   36318   14654  144615   260600   7.18
1930-1939     80-84     0.15240  0.54505  2.39   21664   11808   77479   115986   5.35
1930-1939     85-89     0.23159  0.69981  2.17    9856    6897   29783    38507   3.91
1930-1939     90-94     0.32070  0.81680  2.00    2959    2417    7536     8724   2.95
1930-1939     95-99     0.44688  0.90849  1.73     542     492    1102     1188   2.19
1930-1939    100-104    0.57227  0.95450  1.51      50      47      83       86   1.73
1930-1939    105-109    0.69020  0.97645  1.33       2       2       3        3   1.45
1930-1939    110+       0.77704  1.00000  1.29       0       0       0        0   1.29
1940-1949        0      0.04674  0.04501  0.18  100000    4501   96300  6435278  64.35
1940-1949      1-4      0.00286  0.01135  1.57   95499    1084  379363  6338978  66.38
1940-1949      5-9      0.00126  0.00626  2.19   94415     591  470416  5959616  63.12
1940-1949     10-14     0.00095  0.00474  2.62   93824     444  468062  5489199  58.51
1940-1949     15-19     0.00285  0.01417  3.02   93380    1323  464282  5021137  53.77
1940-1949     20-24     0.00469  0.02316  2.50   92057    2132  454951  4556855  49.50
