England and Wales, Total Population, Life tables (period 5x5), Females     Last modified: 26-Apr-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1844        0      0.14452  0.13211  0.35  100000   13211   91413  4254427  42.54
1841-1844      1-4      0.03535  0.12968  1.45   86789   11255  318409  4163014  47.97
1841-1844      5-9      0.00894  0.04355  2.02   75534    3289  367878  3844605  50.90
1841-1844     10-14     0.00516  0.02549  2.56   72245    1842  356723  3476727  48.12
1841-1844     15-19     0.00763  0.03748  2.63   70403    2639  345764  3120005  44.32
1841-1844     20-24     0.00896  0.04380  2.49   67764    2968  331378  2774240  40.94
1841-1844     25-29     0.00968  0.04725  2.52   64796    3062  316394  2442862  37.70
1841-1844     30-34     0.01022  0.04982  2.50   61734    3076  300975  2126468  34.45
1841-1844     35-39     0.01207  0.05860  2.56   58658    3437  284906  1825493  31.12
1841-1844     40-44     0.01235  0.05987  2.45   55221    3306  267677  1540587  27.90
1841-1844     45-49     0.01443  0.06970  2.58   51914    3618  250831  1272910  24.52
1841-1844     50-54     0.01613  0.07752  2.49   48296    3744  232096  1022079  21.16
1841-1844     55-59     0.02424  0.11477  2.68   44552    5113  210916   789983  17.73
1841-1844     60-64     0.03065  0.14230  2.49   39439    5612  183082   579067  14.68
1841-1844     65-69     0.04912  0.22019  2.65   33827    7448  151637   395985  11.71
1841-1844     70-74     0.07023  0.29794  2.46   26379    7859  111912   244348   9.26
1841-1844     75-79     0.11023  0.43199  2.50   18519    8000   72579   132435   7.15
1841-1844     80-84     0.14311  0.52062  2.38   10519    5477   38267    59856   5.69
1841-1844     85-89     0.20691  0.65741  2.23    5043    3315   16022    21589   4.28
1841-1844     90-94     0.29138  0.78269  2.04    1728    1352    4641     5567   3.22
1841-1844     95-99     0.39371  0.87571  1.83     375     329     835      926   2.47
1841-1844    100-104    0.50498  0.93280  1.62      47      44      86       91   1.96
1841-1844    105-109    0.61632  0.96383  1.43       3       3       5        5   1.62
1841-1844    110+       0.70306  1.00000  1.42       0       0       0        0   1.42
1845-1849        0      0.15532  0.14108  0.35  100000   14108   90830  4037445  40.37
1845-1849      1-4      0.03850  0.14019  1.44   85892   12042  312736  3946615  45.95
1845-1849      5-9      0.00939  0.04569  2.02   73851    3374  359193  3633879  49.21
1845-1849     10-14     0.00567  0.02794  2.56   70477    1969  347584  3274686  46.46
1845-1849     15-19     0.00800  0.03927  2.62   68508    2690  336130  2927102  42.73
1845-1849     20-24     0.01021  0.04980  2.53   65817    3278  320996  2590972  39.37
1845-1849     25-29     0.01069  0.05208  2.50   62539    3257  304548  2269977  36.30
1845-1849     30-34     0.01182  0.05741  2.52   59282    3404  287971  1965429  33.15
1845-1849     35-39     0.01278  0.06192  2.51   55879    3460  270778  1677458  30.02
1845-1849     40-44     0.01464  0.07062  2.51   52419    3702  252887  1406681  26.84
1845-1849     45-49     0.01508  0.07265  2.50   48717    3539  234743  1153793  23.68
1845-1849     50-54     0.01942  0.09274  2.58   45178    4190  215755   919051  20.34
1845-1849     55-59     0.02366  0.11183  2.55   40988    4584  193698   703295  17.16
1845-1849     60-64     0.03673  0.16882  2.61   36404    6146  167340   509597  14.00
1845-1849     65-69     0.04938  0.21997  2.52   30259    6656  134798   342258  11.31
1845-1849     70-74     0.07813  0.32758  2.54   23603    7732   98957   207460   8.79
1845-1849     75-79     0.11420  0.44120  2.42   15871    7002   61316   108502   6.84
1845-1849     80-84     0.15630  0.55339  2.36    8869    4908   31401    47187   5.32
1845-1849     85-89     0.22544  0.69010  2.19    3961    2733   12125    15786   3.99
1845-1849     90-94     0.31810  0.81284  1.99    1227     998    3137     3661   2.98
1845-1849     95-99     0.42795  0.89742  1.77     230     206     482      525   2.28
1845-1849    100-104    0.54385  0.94607  1.55      24      22      41       43   1.82
1845-1849    105-109    0.65592  0.97113  1.38       1       1       2        2   1.52
1845-1849    110+       0.74099  1.00000  1.35       0       0       0        0   1.35
1850-1854        0      0.15285  0.13903  0.35  100000   13903   90963  4193250  41.93
1850-1854      1-4      0.03594  0.13153  1.42   86097   11324  315129  4102288  47.65
1850-1854      5-9      0.00876  0.04269  2.02   74772    3192  364355  3787158  50.65
1850-1854     10-14     0.00526  0.02597  2.57   71581    1859  353385  3422803  47.82
1850-1854     15-19     0.00766  0.03763  2.62   69722    2623  342363  3069418  44.02
1850-1854     20-24     0.00908  0.04440  2.51   67099    2979  328089  2727055  40.64
1850-1854     25-29     0.00985  0.04807  2.51   64119    3082  312933  2398966  37.41
1850-1854     30-34     0.01076  0.05240  2.52   61037    3198  297253  2086032  34.18
1850-1854     35-39     0.01202  0.05838  2.52   57839    3377  280816  1788779  30.93
1850-1854     40-44     0.01294  0.06268  2.50   54462    3414  263787  1507963  27.69
1850-1854     45-49     0.01464  0.07066  2.53   51049    3607  246341  1244176  24.37
1850-1854     50-54     0.01703  0.08174  2.55   47442    3878  227707   997836  21.03
1850-1854     55-59     0.02364  0.11186  2.60   43564    4873  206122   770129  17.68
1850-1854     60-64     0.03146  0.14611  2.56   38691    5653  179676   564007  14.58
1850-1854     65-69     0.04848  0.21703  2.59   33038    7170  147898   384331  11.63
1850-1854     70-74     0.07098  0.30162  2.51   25867    7802  109924   236433   9.14
1850-1854     75-79     0.11030  0.43113  2.47   18065    7788   70610   126509   7.00
1850-1854     80-84     0.15368  0.54720  2.37   10277    5623   36593    55899   5.44
1850-1854     85-89     0.21578  0.67286  2.20    4653    3131   14510    19306   4.15
1850-1854     90-94     0.29949  0.79173  2.02    1522    1205    4024     4796   3.15
1850-1854     95-99     0.40000  0.87949  1.81     317     279     697      772   2.43
1850-1854    100-104    0.50726  0.93332  1.61      38      36      70       74   1.95
1850-1854    105-109    0.61435  0.96324  1.44       3       2       4        4   1.62
1850-1854    110+       0.69800  1.00000  1.43       0       0       0        0   1.43
1855-1859        0      0.15236  0.13863  0.35  100000   13863   90989  4233692  42.34
1855-1859      1-4      0.03639  0.13315  1.44   86137   11469  315191  4142703  48.09
1855-1859      5-9      0.00877  0.04271  1.99   74668    3189  363744  3827512  51.26
1855-1859     10-14     0.00493  0.02437  2.56   71479    1742  353136  3463768  48.46
1855-1859     15-19     0.00698  0.03434  2.62   69737    2395  342988  3110632  44.61
1855-1859     20-24     0.00891  0.04358  2.54   67342    2935  329477  2767644  41.10
1855-1859     25-29     0.00933  0.04560  2.50   64407    2937  314683  2438167  37.86
1855-1859     30-34     0.01012  0.04934  2.52   61470    3033  299835  2123485  34.54
1855-1859     35-39     0.01123  0.05464  2.52   58437    3193  284269  1823650  31.21
1855-1859     40-44     0.01273  0.06171  2.52   55244    3409  267751  1539381  27.87
1855-1859     45-49     0.01358  0.06570  2.51   51835    3406  250710  1271630  24.53
1855-1859     50-54     0.01704  0.08181  2.58   48429    3962  232556  1020920  21.08
1855-1859     55-59     0.02164  0.10281  2.57   44467    4572  211209   788364  17.73
1855-1859     60-64     0.03291  0.15258  2.62   39896    6087  184964   577155  14.47
1855-1859     65-69     0.04691  0.21032  2.54   33808    7110  151574   392191  11.60
1855-1859     70-74     0.07308  0.30975  2.54   26698    8270  113162   240617   9.01
1855-1859     75-79     0.11105  0.43240  2.44   18428    7968   71754   127455   6.92
1855-1859     80-84     0.15788  0.55719  2.36   10460    5828   36916    55701   5.33
1855-1859     85-89     0.22241  0.68413  2.19    4632    3169   14247    18786   4.06
1855-1859     90-94     0.30486  0.79689  2.01    1463    1166    3824     4538   3.10
1855-1859     95-99     0.40559  0.88304  1.80     297     262     647      714   2.40
1855-1859    100-104    0.51217  0.93505  1.61      35      32      63       67   1.93
1855-1859    105-109    0.61816  0.96397  1.43       2       2       4        4   1.61
1855-1859    110+       0.70080  1.00000  1.43       0       0       0        0   1.43
1860-1864        0      0.14575  0.13314  0.35  100000   13314   91346  4274876  42.75
1860-1864      1-4      0.03668  0.13401  1.42   86686   11617  316730  4183530  48.26
1860-1864      5-9      0.00824  0.04017  1.96   75069    3016  366169  3866800  51.51
1860-1864     10-14     0.00468  0.02315  2.59   72054    1668  356244  3500631  48.58
1860-1864     15-19     0.00686  0.03375  2.62   70386    2375  346275  3144387  44.67
1860-1864     20-24     0.00823  0.04032  2.53   68011    2742  333277  2798112  41.14
1860-1864     25-29     0.00918  0.04488  2.52   65268    2929  319091  2464835  37.76
1860-1864     30-34     0.01023  0.04990  2.53   62339    3111  304000  2145745  34.42
1860-1864     35-39     0.01153  0.05605  2.52   59229    3320  287899  1841745  31.10
1860-1864     40-44     0.01228  0.05959  2.50   55909    3331  271209  1553846  27.79
1860-1864     45-49     0.01382  0.06683  2.54   52578    3514  254253  1282637  24.40
1860-1864     50-54     0.01680  0.08069  2.57   49064    3959  235697  1028384  20.96
1860-1864     55-59     0.02379  0.11254  2.60   45105    5076  213341   792686  17.57
1860-1864     60-64     0.03218  0.14922  2.57   40029    5973  185614   579346  14.47
1860-1864     65-69     0.04942  0.22073  2.58   34056    7517  152119   393731  11.56
1860-1864     70-74     0.07167  0.30396  2.50   26538    8067  112554   241612   9.10
1860-1864     75-79     0.11026  0.43104  2.47   18472    7962   72212   129058   6.99
1860-1864     80-84     0.15477  0.55002  2.37   10510    5781   37349    56846   5.41
1860-1864     85-89     0.21732  0.67566  2.20    4729    3195   14703    19496   4.12
1860-1864     90-94     0.30225  0.79486  2.02    1534    1219    4034     4793   3.13
1860-1864     95-99     0.40344  0.88180  1.81     315     277     688      760   2.41
1860-1864    100-104    0.51138  0.93487  1.61      37      35      68       72   1.93
1860-1864    105-109    0.61880  0.96416  1.43       2       2       4        4   1.61
1860-1864    110+       0.70248  1.00000  1.42       0       0       0        0   1.42
1865-1869        0      0.15678  0.14228  0.35  100000   14228   90752  4280592  42.81
1865-1869      1-4      0.03422  0.12558  1.37   85772   10771  314756  4189841  48.85
1865-1869      5-9      0.00734  0.03589  2.00   75000    2692  366940  3875084  51.67
1865-1869     10-14     0.00428  0.02118  2.58   72309    1532  357830  3508144  48.52
1865-1869     15-19     0.00639  0.03146  2.64   70777    2227  348631  3150315  44.51
1865-1869     20-24     0.00834  0.04085  2.54   68550    2800  335875  2801684  40.87
1865-1869     25-29     0.00919  0.04494  2.52   65750    2955  321435  2465809  37.50
1865-1869     30-34     0.01047  0.05102  2.53   62795    3204  306059  2144374  34.15
1865-1869     35-39     0.01156  0.05621  2.51   59592    3350  289634  1838315  30.85
1865-1869     40-44     0.01299  0.06291  2.52   56242    3538  272427  1548681  27.54
1865-1869     45-49     0.01417  0.06843  2.52   52704    3607  254582  1276254  24.22
1865-1869     50-54     0.01800  0.08626  2.58   49097    4235  235234  1021672  20.81
1865-1869     55-59     0.02305  0.10911  2.56   44862    4895  212378   786438  17.53
1865-1869     60-64     0.03373  0.15601  2.60   39967    6235  184859   574060  14.36
1865-1869     65-69     0.04775  0.21370  2.54   33732    7208  150957   389202  11.54
1865-1869     70-74     0.07407  0.31317  2.54   26524    8306  112148   238244   8.98
1865-1869     75-79     0.11085  0.43158  2.44   18217    7862   70930   126096   6.92
1865-1869     80-84     0.15922  0.56022  2.36   10355    5801   36434    55166   5.33
1865-1869     85-89     0.21938  0.67835  2.19    4554    3089   14082    18732   4.11
1865-1869     90-94     0.29742  0.78820  2.02    1465    1155    3882     4650   3.17
1865-1869     95-99     0.39274  0.87394  1.82     310     271     690      769   2.48
1865-1869    100-104    0.49363  0.92762  1.64      39      36      73       78   2.00
1865-1869    105-109    0.59542  0.95884  1.46       3       3       5        5   1.67
1865-1869    110+       0.67581  1.00000  1.48       0       0       0        0   1.48
1870-1874        0      0.15236  0.13863  0.35  100000   13863   90989  4374779  43.75
1870-1874      1-4      0.03150  0.11643  1.39   86137   10029  318364  4283790  49.73
1870-1874      5-9      0.00715  0.03501  2.00   76108    2665  372538  3965426  52.10
1870-1874     10-14     0.00404  0.01998  2.57   73443    1467  363653  3592888  48.92
1870-1874     15-19     0.00606  0.02989  2.64   71976    2151  354804  3229234  44.87
1870-1874     20-24     0.00767  0.03763  2.55   69824    2627  342684  2874431  41.17
1870-1874     25-29     0.00877  0.04294  2.53   67197    2885  328847  2531747  37.68
1870-1874     30-34     0.00987  0.04817  2.54   64312    3098  313933  2202900  34.25
1870-1874     35-39     0.01141  0.05550  2.53   61214    3397  297672  1888967  30.86
1870-1874     40-44     0.01259  0.06105  2.51   57817    3530  280294  1591294  27.52
1870-1874     45-49     0.01442  0.06964  2.54   54287    3781  262126  1311000  24.15
1870-1874     50-54     0.01720  0.08253  2.56   50506    4168  242343  1048874  20.77
1870-1874     55-59     0.02387  0.11291  2.60   46338    5232  219153   806531  17.41
1870-1874     60-64     0.03323  0.15374  2.58   41106    6320  190206   587378  14.29
1870-1874     65-69     0.05060  0.22531  2.57   34786    7838  154885   397172  11.42
1870-1874     70-74     0.07334  0.30994  2.50   26949    8352  113884   242287   8.99
1870-1874     75-79     0.11166  0.43497  2.46   18596    8089   72442   128404   6.90
1870-1874     80-84     0.15996  0.56175  2.35   10508    5903   36900    55962   5.33
1870-1874     85-89     0.21849  0.67645  2.19    4605    3115   14257    19062   4.14
1870-1874     90-94     0.29259  0.78183  2.02    1490    1165    3981     4805   3.22
1870-1874     95-99     0.38360  0.86707  1.84     325     282     735      823   2.53
1870-1874    100-104    0.48027  0.92177  1.66      43      40      83       89   2.05
1870-1874    105-109    0.57874  0.95464  1.49       3       3       6        6   1.72
1870-1874    110+       0.65712  1.00000  1.52       0       0       0        0   1.52
1875-1879        0      0.14354  0.13129  0.35  100000   13129   91466  4512791  45.13
1875-1879      1-4      0.02924  0.10855  1.34   86871    9430  322443  4421325  50.90
1875-1879      5-9      0.00600  0.02949  2.01   77442    2284  380369  4098882  52.93
1875-1879     10-14     0.00360  0.01783  2.56   75158    1340  372527  3718513  49.48
1875-1879     15-19     0.00508  0.02512  2.64   73818    1855  364711  3345986  45.33
1875-1879     20-24     0.00676  0.03326  2.56   71964    2393  353987  2981275  41.43
1875-1879     25-29     0.00783  0.03843  2.55   69570    2674  341292  2627288  37.76
1875-1879     30-34     0.00920  0.04499  2.54   66896    3010  327084  2285996  34.17
1875-1879     35-39     0.01072  0.05221  2.54   63886    3336  311241  1958912  30.66
1875-1879     40-44     0.01271  0.06164  2.53   60551    3732  293540  1647671  27.21
1875-1879     45-49     0.01414  0.06831  2.53   56818    3881  274495  1354131  23.83
1875-1879     50-54     0.01812  0.08681  2.58   52937    4596  253586  1079635  20.39
1875-1879     55-59     0.02364  0.11177  2.57   48341    5403  228558   826050  17.09
1875-1879     60-64     0.03540  0.16316  2.61   42938    7006  197915   597492  13.92
1875-1879     65-69     0.05158  0.22886  2.54   35932    8223  159445   399577  11.12
1875-1879     70-74     0.07745  0.32468  2.51   27709    8996  116151   240132   8.67
1875-1879     75-79     0.11475  0.44314  2.43   18712    8292   72261   123981   6.63
1875-1879     80-84     0.17225  0.59051  2.34   10420    6153   35722    51720   4.96
1875-1879     85-89     0.24335  0.71827  2.15    4267    3065   12594    15998   3.75
1875-1879     90-94     0.33752  0.83134  1.95    1202     999    2961     3404   2.83
1875-1879     95-99     0.44861  0.90828  1.72     203     184     410      443   2.19
1875-1879    100-104    0.56234  0.95121  1.52      19      18      31       33   1.76
1875-1879    105-109    0.67059  0.97333  1.35       1       1       1        1   1.49
1875-1879    110+       0.75212  1.00000  1.33       0       0       0        0   1.33
1880-1884        0      0.13821  0.12682  0.35  100000   12682   91757  4643850  46.44
1880-1884      1-4      0.02767  0.10309  1.34   87318    9002  325344  4552093  52.13
1880-1884      5-9      0.00589  0.02896  2.00   78316    2268  384782  4226750  53.97
1880-1884     10-14     0.00330  0.01637  2.56   76048    1245  377201  3841968  50.52
1880-1884     15-19     0.00479  0.02370  2.63   74803    1773  369817  3464767  46.32
1880-1884     20-24     0.00605  0.02983  2.57   73030    2179  359847  3094950  42.38
1880-1884     25-29     0.00720  0.03540  2.55   70852    2508  348112  2735103  38.60
1880-1884     30-34     0.00864  0.04229  2.57   68344    2890  334689  2386991  34.93
1880-1884     35-39     0.01040  0.05068  2.53   65454    3317  319085  2052302  31.36
1880-1884     40-44     0.01159  0.05633  2.53   62136    3500  302023  1733217  27.89
1880-1884     45-49     0.01366  0.06609  2.55   58636    3875  283696  1431194  24.41
1880-1884     50-54     0.01702  0.08172  2.57   54761    4475  262947  1147498  20.95
1880-1884     55-59     0.02396  0.11327  2.59   50286    5696  237723   884550  17.59
1880-1884     60-64     0.03227  0.14959  2.56   44590    6670  206676   646827  14.51
1880-1884     65-69     0.04839  0.21663  2.58   37920    8215  169745   440151  11.61
1880-1884     70-74     0.07148  0.30341  2.51   29705    9013  126095   270407   9.10
1880-1884     75-79     0.10783  0.42329  2.46   20692    8759   81227   144312   6.97
1880-1884     80-84     0.16196  0.56724  2.36   11933    6769   41796    63085   5.29
1880-1884     85-89     0.21948  0.67823  2.18    5164    3503   15958    21289   4.12
1880-1884     90-94     0.29413  0.78364  2.02    1662    1302    4427     5330   3.21
1880-1884     95-99     0.38707  0.86960  1.83     360     313     808      903   2.51
1880-1884    100-104    0.48424  0.92349  1.65      47      43      89       96   2.04
1880-1884    105-109    0.58294  0.95570  1.48       4       3       6        6   1.71
1880-1884    110+       0.66136  1.00000  1.51       0       0       0        0   1.51
1885-1889        0      0.13942  0.12784  0.35  100000   12784   91691  4752035  47.52
1885-1889      1-4      0.02518  0.09428  1.29   87216    8223  326567  4660344  53.43
1885-1889      5-9      0.00484  0.02384  2.04   78993    1883  389401  4333777  54.86
