PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,m,0,1,C,07,04,1861,9,O,46055,.,.,.,1
GBR_SCO,01,m,1,1,C,07,04,1861,9,O,42103,.,.,.,1
GBR_SCO,01,m,2,1,C,07,04,1861,9,O,42443,.,.,.,1
GBR_SCO,01,m,3,1,C,07,04,1861,9,O,41033,.,.,.,1
GBR_SCO,01,m,4,1,C,07,04,1861,9,O,40375,.,.,.,1
GBR_SCO,01,m,5,5,C,07,04,1861,9,O,184317,.,.,.,1
GBR_SCO,01,m,10,5,C,07,04,1861,9,O,165120,.,.,.,1
GBR_SCO,01,m,15,5,C,07,04,1861,9,O,150428,.,.,.,1
GBR_SCO,01,m,20,5,C,07,04,1861,9,O,127476,.,.,.,1
GBR_SCO,01,m,25,5,C,07,04,1861,9,O,101220,.,.,.,1
GBR_SCO,01,m,30,5,C,07,04,1861,9,O,90665,.,.,.,1
GBR_SCO,01,m,35,5,C,07,04,1861,9,O,78477,.,.,.,1
GBR_SCO,01,m,40,5,C,07,04,1861,9,O,73821,.,.,.,1
GBR_SCO,01,m,45,5,C,07,04,1861,9,O,62371,.,.,.,1
GBR_SCO,01,m,50,5,C,07,04,1861,9,O,56405,.,.,.,1
GBR_SCO,01,m,55,5,C,07,04,1861,9,O,42956,.,.,.,1
GBR_SCO,01,m,60,5,C,07,04,1861,9,O,40643,.,.,.,1
GBR_SCO,01,m,65,5,C,07,04,1861,9,O,24549,.,.,.,1
GBR_SCO,01,m,70,5,C,07,04,1861,9,O,17840,.,.,.,1
GBR_SCO,01,m,75,5,C,07,04,1861,9,O,10677,.,.,.,1
GBR_SCO,01,m,80,5,C,07,04,1861,9,O,5933,.,.,.,1
GBR_SCO,01,m,85,5,C,07,04,1861,9,O,1839,.,.,.,1
GBR_SCO,01,m,90,5,C,07,04,1861,9,O,496,.,.,.,1
GBR_SCO,01,m,95,5,C,07,04,1861,9,O,109,.,.,.,1
GBR_SCO,01,m,100,5,C,07,04,1861,9,O,28,.,.,.,1
GBR_SCO,01,m,105,+,C,07,04,1861,9,O,2,.,.,.,1
GBR_SCO,01,m,UNK,.,C,07,04,1861,9,O,2467,.,.,.,1
GBR_SCO,01,m,TOT,.,C,07,04,1861,9,O,1449848,.,.,.,1
GBR_SCO,01,f,0,1,C,07,04,1861,9,O,44399,.,.,.,1
GBR_SCO,01,f,1,1,C,07,04,1861,9,O,40773,.,.,.,1
GBR_SCO,01,f,2,1,C,07,04,1861,9,O,41114,.,.,.,1
GBR_SCO,01,f,3,1,C,07,04,1861,9,O,40096,.,.,.,1
GBR_SCO,01,f,4,1,C,07,04,1861,9,O,38868,.,.,.,1
GBR_SCO,01,f,5,5,C,07,04,1861,9,O,178867,.,.,.,1
GBR_SCO,01,f,10,5,C,07,04,1861,9,O,157608,.,.,.,1
GBR_SCO,01,f,15,5,C,07,04,1861,9,O,156991,.,.,.,1
GBR_SCO,01,f,20,5,C,07,04,1861,9,O,152830,.,.,.,1
GBR_SCO,01,f,25,5,C,07,04,1861,9,O,131589,.,.,.,1
GBR_SCO,01,f,30,5,C,07,04,1861,9,O,111543,.,.,.,1
GBR_SCO,01,f,35,5,C,07,04,1861,9,O,95545,.,.,.,1
