Scotland, Life tables (period 5x1), Total     Last modified: 05-Jul-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1855           0      0.12645  0.11669  0.34  100000   11669   92285  4295751  42.96
  1855         1-4      0.03548  0.12995  1.40   88331   11479  323512  4203465  47.59
  1855         5-9      0.00857  0.04177  2.06   76852    3210  374829  3879954  50.49
  1855        10-14     0.00497  0.02455  2.54   73642    1808  363756  3505124  47.60
  1855        15-19     0.00724  0.03562  2.66   71834    2559  353185  3141368  43.73
  1855        20-24     0.00947  0.04625  2.51   69275    3204  338390  2788183  40.25
  1855        25-29     0.00971  0.04738  2.50   66071    3130  322524  2449793  37.08
  1855        30-34     0.01058  0.05156  2.50   62941    3245  306600  2127269  33.80
  1855        35-39     0.01163  0.05654  2.55   59696    3375  290201  1820669  30.50
  1855        40-44     0.01348  0.06521  2.50   56320    3673  272411  1530468  27.17
  1855        45-49     0.01485  0.07168  2.56   52648    3774  254036  1258057  23.90
  1855        50-54     0.01882  0.08984  2.49   48874    4391  233354  1004021  20.54
  1855        55-59     0.02248  0.10679  2.67   44483    4750  211338   770667  17.32
  1855        60-64     0.03782  0.17285  2.52   39733    6868  181599   559328  14.08
  1855        65-69     0.04698  0.21070  2.56   32865    6925  147406   377730  11.49
  1855        70-74     0.07664  0.32179  2.51   25940    8347  108915   230323   8.88
  1855        75-79     0.11004  0.42964  2.45   17593    7559   68687   121408   6.90
  1855        80-84     0.16240  0.56708  2.34   10034    5690   35040    52721   5.25
  1855        85-89     0.22432  0.68445  2.15    4344    2973   13255    17682   4.07
  1855        90-94     0.29303  0.78235  2.02    1371    1072    3660     4427   3.23
  1855        95-99     0.37773  0.86240  1.85     298     257     681      767   2.57
  1855       100-104    0.47104  0.91745  1.67      41      38      80       86   2.09
  1855       105-109    0.56710  0.95147  1.51       3       3       6        6   1.75
  1855       110+       0.64420  1.00000  1.55       0       0       0        0   1.55
  1856           0      0.12778  0.11783  0.34  100000   11783   92210  4429992  44.30
  1856         1-4      0.03582  0.13133  1.46   88217   11585  323427  4337782  49.17
  1856         5-9      0.00890  0.04333  1.91   76632    3320  372901  4014355  52.39
  1856        10-14     0.00480  0.02371  2.56   73311    1739  362322  3641453  49.67
  1856        15-19     0.00633  0.03118  2.63   71573    2232  352568  3279131  45.82
  1856        20-24     0.00870  0.04258  2.54   69341    2953  339451  2926563  42.21
  1856        25-29     0.00932  0.04556  2.50   66388    3024  324377  2587111  38.97
  1856        30-34     0.00992  0.04837  2.48   63364    3065  309106  2262734  35.71
  1856        35-39     0.00983  0.04796  2.52   60299    2892  294322  1953628  32.40
  1856        40-44     0.01184  0.05752  2.53   57407    3302  278876  1659306  28.90
  1856        45-49     0.01281  0.06208  2.54   54105    3359  262251  1380431  25.51
  1856        50-54     0.01730  0.08301  2.56   50746    4212  243433  1118179  22.03
  1856        55-59     0.01940  0.09266  2.58   46534    4312  222251   874746  18.80
  1856        60-64     0.03237  0.14999  2.56   42222    6333  195666   652495  15.45
  1856        65-69     0.04062  0.18469  2.55   35889    6628  163181   456829  12.73
  1856        70-74     0.06556  0.28246  2.55   29261    8265  126061   293648  10.04
  1856        75-79     0.09288  0.37524  2.44   20996    7879   84828   167587   7.98
  1856        80-84     0.12677  0.47727  2.41   13117    6261   49386    82759   6.31
  1856        85-89     0.18155  0.60338  2.22    6857    4137   22788    33373   4.87
  1856        90-94     0.23630  0.70490  2.14    2720    1917    8113    10585   3.89
  1856        95-99     0.30953  0.80055  1.98     803     642    2076     2472   3.08
  1856       100-104    0.39392  0.87374  1.82     160     140     355      396   2.48
  1856       105-109    0.48556  0.92359  1.65      20      19      38       41   2.04
  1856       110+       0.56097  1.00000  1.78       2       2       3        3   1.78
  1857           0      0.12781  0.11785  0.34  100000   11785   92208  4348818  43.49
  1857         1-4      0.03609  0.13191  1.38   88215   11636  322413  4256610  48.25
  1857         5-9      0.00867  0.04225  2.03   76578    3236  373267  3934197  51.37
  1857        10-14     0.00484  0.02393  2.54   73343    1755  362394  3560930  48.55
  1857        15-19     0.00704  0.03465  2.64   71587    2480  352083  3198537  44.68
  1857        20-24     0.00942  0.04605  2.54   69107    3182  337715  2846453  41.19
  1857        25-29     0.00975  0.04757  2.49   65925    3136  321751  2508738  38.05
  1857        30-34     0.01030  0.05020  2.50   62789    3152  306051  2186987  34.83
  1857        35-39     0.01025  0.04999  2.50   59636    2981  290733  1880936  31.54
  1857        40-44     0.01238  0.06006  2.55   56655    3403  274948  1590203  28.07
  1857        45-49     0.01351  0.06535  2.51   53253    3480  257599  1315256  24.70
  1857        50-54     0.01786  0.08564  2.60   49773    4262  238624  1057656  21.25
  1857        55-59     0.02061  0.09803  2.52   45510    4462  216499   819032  18.00
  1857        60-64     0.03356  0.15547  2.63   41049    6382  190140   602533  14.68
  1857        65-69     0.04505  0.20281  2.55   34667    7031  156076   412393  11.90
  1857        70-74     0.07314  0.31006  2.55   27636    8569  117161   256317   9.27
  1857        75-79     0.10264  0.40588  2.42   19067    7739   75402   139156   7.30
  1857        80-84     0.15075  0.54010  2.38   11328    6118   40588    63754   5.63
  1857        85-89     0.20355  0.64652  2.18    5210    3368   16547    23166   4.45
  1857        90-94     0.26056  0.73988  2.08    1842    1363    5229     6618   3.59
  1857        95-99     0.33197  0.82248  1.93     479     394    1187     1389   2.90
  1857       100-104    0.41208  0.88493  1.78      85      75     183      202   2.38
  1857       105-109    0.49736  0.92783  1.62      10       9      18       20   1.99
  1857       110+       0.56694  1.00000  1.76       1       1       1        1   1.76
  1858           0      0.13240  0.12175  0.34  100000   12175   91952  4302957  43.03
  1858         1-4      0.03741  0.13642  1.41   87825   11981  320296  4211005  47.95
  1858         5-9      0.00927  0.04510  1.99   75844    3420  368917  3890709  51.30
  1858        10-14     0.00471  0.02330  2.53   72423    1688  357951  3521791  48.63
  1858        15-19     0.00713  0.03507  2.64   70736    2481  347834  3163841  44.73
  1858        20-24     0.00932  0.04554  2.54   68255    3109  333637  2816006  41.26
  1858        25-29     0.00932  0.04553  2.48   65146    2966  318257  2482369  38.10
  1858        30-34     0.01018  0.04964  2.54   62180    3086  303307  2164112  34.80
  1858        35-39     0.01106  0.05380  2.49   59094    3179  287496  1860805  31.49
  1858        40-44     0.01238  0.06005  2.53   55915    3358  271277  1573309  28.14
  1858        45-49     0.01311  0.06346  2.52   52557    3335  254496  1302032  24.77
  1858        50-54     0.01793  0.08600  2.62   49221    4233  236041  1047536  21.28
  1858        55-59     0.02064  0.09811  2.48   44989    4414  213827   811495  18.04
  1858        60-64     0.03260  0.15158  2.69   40575    6150  188678   597668  14.73
  1858        65-69     0.04526  0.20355  2.53   34424    7007  154805   408990  11.88
  1858        70-74     0.07125  0.30355  2.56   27417    8323  116815   254185   9.27
  1858        75-79     0.10267  0.40585  2.42   19095    7750   75483   137370   7.19
  1858        80-84     0.15253  0.54602  2.40   11345    6195   40612    61887   5.46
  1858        85-89     0.22145  0.67801  2.14    5150    3492   15769    21276   4.13
  1858        90-94     0.28379  0.77140  2.04    1658    1279    4508     5506   3.32
  1858        95-99     0.36788  0.85485  1.87     379     324     881      999   2.63
  1858       100-104    0.46056  0.91252  1.69      55      50     109      118   2.14
  1858       105-109    0.55606  0.94835  1.53       5       5       8        9   1.79
  1858       110+       0.63259  1.00000  1.58       0       0       0        0   1.58
  1859           0      0.12234  0.11318  0.34  100000   11318   92516  4385728  43.86
  1859         1-4      0.03634  0.13303  1.45   88682   11797  324598  4293212  48.41
  1859         5-9      0.00989  0.04804  2.05   76885    3693  373518  3968615  51.62
  1859        10-14     0.00481  0.02374  2.46   73191    1738  361539  3595097  49.12
  1859        15-19     0.00683  0.03359  2.64   71454    2400  351611  3233558  45.25
  1859        20-24     0.00883  0.04321  2.55   69054    2984  337972  2881947  41.73
  1859        25-29     0.00922  0.04504  2.48   66070    2976  322862  2543975  38.50
  1859        30-34     0.00995  0.04857  2.53   63095    3065  307918  2221112  35.20
  1859        35-39     0.01074  0.05228  2.48   60030    3138  292239  1913195  31.87
  1859        40-44     0.01172  0.05696  2.55   56892    3240  276526  1620955  28.49
  1859        45-49     0.01344  0.06502  2.51   53651    3488  259565  1344430  25.06
  1859        50-54     0.01669  0.08028  2.62   50163    4027  241225  1084865  21.63
  1859        55-59     0.02125  0.10087  2.49   46136    4654  218983   843640  18.29
  1859        60-64     0.03013  0.14089  2.70   41482    5844  193946   624658  15.06
  1859        65-69     0.04479  0.20160  2.53   35637    7184  160406   430712  12.09
  1859        70-74     0.06858  0.29404  2.58   28453    8366  121997   270306   9.50
  1859        75-79     0.10405  0.40975  2.41   20087    8230   79101   148309   7.38
  1859        80-84     0.14007  0.51321  2.40   11856    6085   43440    69208   5.84
  1859        85-89     0.20069  0.64224  2.20    5771    3707   18469    25768   4.46
  1859        90-94     0.26381  0.74570  2.09    2065    1540    5836     7299   3.53
  1859        95-99     0.34586  0.83654  1.91     525     439    1270     1462   2.79
  1859       100-104    0.43777  0.90096  1.73      86      77     177      192   2.24
  1859       105-109    0.53399  0.94168  1.56       9       8      15       16   1.86
  1859       110+       0.61161  1.00000  1.64       0       0       1        1   1.64
  1860           0      0.14503  0.13234  0.34  100000   13234   91252  4147024  41.47
  1860         1-4      0.03899  0.14153  1.39   86766   12280  314984  4055771  46.74
  1860         5-9      0.00944  0.04593  2.04   74486    3421  362312  3740787  50.22
  1860        10-14     0.00533  0.02630  2.53   71064    1869  350704  3378475  47.54
  1860        15-19     0.00750  0.03685  2.63   69195    2550  339925  3027771  43.76
  1860        20-24     0.00941  0.04598  2.55   66645    3064  325715  2687846  40.33
  1860        25-29     0.01024  0.04990  2.48   63581    3172  309906  2362131  37.15
  1860        30-34     0.01085  0.05285  2.52   60409    3193  294125  2052225  33.97
  1860        35-39     0.01198  0.05814  2.49   57216    3327  277738  1758100  30.73
  1860        40-44     0.01282  0.06213  2.53   53890    3348  261189  1480362  27.47
  1860        45-49     0.01472  0.07098  2.51   50541    3587  243777  1219173  24.12
  1860        50-54     0.01731  0.08306  2.57   46954    3900  225292   975396  20.77
  1860        55-59     0.02311  0.10935  2.55   43054    4708  203742   750104  17.42
  1860        60-64     0.03260  0.15133  2.64   38346    5803  178031   546362  14.25
  1860        65-69     0.04984  0.22175  2.52   32543    7217  144784   368331  11.32
  1860        70-74     0.07717  0.32416  2.53   25326    8210  106380   223547   8.83
  1860        75-79     0.11446  0.44065  2.39   17117    7543   65894   117167   6.85
  1860        80-84     0.15404  0.54895  2.38    9574    5256   34119    51273   5.36
  1860        85-89     0.23113  0.69648  2.15    4318    3008   13013    17154   3.97
  1860        90-94     0.29939  0.79069  2.02    1311    1036    3462     4141   3.16
  1860        95-99     0.39262  0.87392  1.83     274     240     611      680   2.48
