Scotland, Life tables (period 1x10), Males     Last modified: 26-Apr-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0     0.13882  0.12701  0.33  100000   12701   91490  4192897  41.93
1855-1859        1     0.06569  0.06360  0.50   87299    5552   84523  4101407  46.98
1855-1859        2     0.03440  0.03382  0.50   81747    2765   80365  4016883  49.14
1855-1859        3     0.02397  0.02368  0.50   78983    1870   78047  3936519  49.84
1855-1859        4     0.01801  0.01785  0.50   77112    1376   76424  3858471  50.04
1855-1859        5     0.01390  0.01381  0.50   75736    1046   75213  3782047  49.94
1855-1859        6     0.01103  0.01097  0.50   74690     819   74281  3706834  49.63
1855-1859        7     0.00864  0.00860  0.50   73871     635   73553  3632553  49.17
1855-1859        8     0.00681  0.00679  0.50   73236     497   72987  3559000  48.60
1855-1859        9     0.00563  0.00561  0.50   72739     408   72535  3486012  47.92
1855-1859       10     0.00506  0.00504  0.50   72331     365   72148  3413477  47.19
1855-1859       11     0.00479  0.00478  0.50   71966     344   71794  3341329  46.43
1855-1859       12     0.00476  0.00475  0.50   71622     340   71452  3269535  45.65
1855-1859       13     0.00498  0.00497  0.50   71282     354   71105  3198083  44.87
1855-1859       14     0.00549  0.00548  0.50   70928     389   70734  3126978  44.09
1855-1859       15     0.00626  0.00624  0.50   70539     440   70319  3056244  43.33
1855-1859       16     0.00705  0.00703  0.50   70099     492   69853  2985925  42.60
1855-1859       17     0.00781  0.00778  0.50   69606     542   69336  2916073  41.89
1855-1859       18     0.00856  0.00852  0.50   69065     589   68770  2846737  41.22
1855-1859       19     0.00930  0.00926  0.50   68476     634   68159  2777966  40.57
1855-1859       20     0.01002  0.00997  0.50   67842     676   67504  2709807  39.94
1855-1859       21     0.01063  0.01057  0.50   67166     710   66811  2642303  39.34
1855-1859       22     0.01107  0.01101  0.50   66456     732   66090  2575492  38.75
1855-1859       23     0.01126  0.01120  0.50   65725     736   65357  2509402  38.18
1855-1859       24     0.01113  0.01107  0.50   64989     719   64629  2444045  37.61
1855-1859       25     0.01074  0.01068  0.50   64269     687   63926  2379416  37.02
1855-1859       26     0.01037  0.01032  0.50   63583     656   63255  2315490  36.42
1855-1859       27     0.01013  0.01008  0.50   62927     634   62609  2252235  35.79
1855-1859       28     0.01004  0.00999  0.50   62292     622   61981  2189626  35.15
1855-1859       29     0.01010  0.01004  0.50   61670     619   61360  2127645  34.50
1855-1859       30     0.01027  0.01022  0.50   61050     624   60739  2066285  33.85
1855-1859       31     0.01047  0.01042  0.50   60427     629   60112  2005546  33.19
1855-1859       32     0.01064  0.01059  0.50   59797     633   59481  1945434  32.53
1855-1859       33     0.01074  0.01068  0.50   59164     632   58848  1885953  31.88
1855-1859       34     0.01075  0.01069  0.50   58532     626   58219  1827105  31.22
1855-1859       35     0.01070  0.01064  0.50   57906     616   57598  1768886  30.55
1855-1859       36     0.01070  0.01065  0.50   57290     610   56985  1711288  29.87
1855-1859       37     0.01081  0.01075  0.50   56680     609   56375  1654302  29.19
1855-1859       38     0.01107  0.01101  0.50   56071     617   55762  1597927  28.50
1855-1859       39     0.01150  0.01144  0.50   55454     634   55136  1542165  27.81
1855-1859       40     0.01210  0.01203  0.50   54819     659   54490  1487028  27.13
1855-1859       41     0.01273  0.01265  0.50   54160     685   53817  1432539  26.45
1855-1859       42     0.01334  0.01325  0.50   53475     708   53120  1378722  25.78
